ticker,OBTX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-03-17,0.0
2020-03-19,400.0
2020-03-20,210.8
2020-03-23,25.4826
2020-03-24,44.6154
2020-03-25,-0.7801
2020-03-26,-56.3259
2020-03-27,13.748
2020-03-30,-28.0576
2020-03-31,-20.0
2020-04-01,52.5
2020-04-02,-18.0328
2020-04-03,1.0
2020-04-06,-32.6733
2020-04-07,0.0
2020-04-08,-5.8824
2020-04-09,9.375
2020-04-13,8.5714
2020-04-14,18.4211
2020-04-15,10.8889
2020-04-16,6.2124
2020-04-17,27.3585
2020-04-20,0.0
2020-04-21,7.4074
2020-04-22,-6.8966
2020-04-23,-3.7037
2020-04-24,-11.538499999999999
2020-04-27,-4.3478
2020-04-28,-9.2727
2020-04-29,-27.8557
2020-04-30,11.1111
2020-05-01,-6.25
2020-05-04,4.0
2020-05-05,8.9744
2020-05-06,4.7059
2020-05-07,-15.7303
2020-05-08,-26.6667
2020-05-11,0.3636
2020-05-13,3.2609
2020-05-15,5.2632
2020-05-18,5.6667
2020-05-19,2.5237
2020-05-20,7.6923
2020-05-21,0.0
2020-05-22,-1.4285999999999999
2020-05-26,-4.9275
2020-05-27,-12.8049
2020-05-28,-1.3986
2020-05-29,-29.078
2020-06-01,-7.5
2020-06-02,8.1081
2020-06-03,0.0
2020-06-04,-20.0
2020-06-05,15.625
2020-06-08,-8.1081
2020-06-09,17.647100000000002
2020-06-10,-22.0
2020-06-11,14.7372
2020-06-12,-2.2292
2020-06-15,-8.857099999999999
2020-06-16,-37.3041
2020-06-17,65.0
2020-06-18,-15.1515
2020-06-19,-25.0
2020-06-22,9.5238
2020-06-23,-34.7826
2020-06-24,12.0
2020-06-25,39.2857
2020-06-26,-10.2564
2020-06-29,-4.7619
2020-06-30,5.0
2020-07-01,9.5238
2020-07-02,-10.4348
2020-07-06,-1.9417
2020-07-07,-20.7921
2020-07-09,25.0
2020-07-10,20.0
2020-07-13,0.0
2020-07-14,-4.1667
2020-07-16,0.0
2020-07-17,-0.8696
2020-07-20,0.8772
2020-07-21,-4.3478
2020-07-22,-9.0818
2020-07-23,14.9885
2020-07-24,0.0
2020-07-27,-13.0435
2020-07-29,0.0
2020-07-31,0.0
