ticker,INAN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-26,-68.0
2000-01-31,4900.0
2000-03-08,-98.0
2000-04-24,19900.0
2000-04-25,-50.0
2000-09-28,-99.025
2000-09-29,-0.641
2000-10-12,158.0645
2000-10-17,25.0
2000-10-19,-4.0
2000-11-03,4.1667
2000-11-06,5.0
2000-11-13,-5.7143
2000-11-28,1.0101
2000-11-30,-80.0
2000-12-01,460.0
2000-12-18,0.0
2001-01-03,0.0
2001-01-22,0.0
2001-01-23,0.0
2001-01-24,0.0
2001-01-25,0.0
2001-01-26,0.8929
2001-01-29,20.354
2001-01-30,-11.7647
2001-01-31,33.3333
2001-02-08,0.0
2001-02-26,15.0
2001-02-27,-8.6957
2001-02-28,-4.6667
2001-03-01,12.3876
2001-03-13,-55.5556
2001-03-14,200.0
2001-03-19,6.6667
2001-03-20,-31.25
2001-03-21,-9.0909
2001-03-22,60.0
2001-03-23,0.0
2001-03-27,-62.5
2001-03-28,71.6667
2001-03-29,-56.3107
2001-03-30,126.6667
2001-04-02,27.451
2001-04-03,-53.8462
2001-04-05,33.3333
2001-04-06,0.0
2001-04-09,25.0
2001-04-10,0.0
2001-04-11,-40.0
2001-04-12,0.0
2001-04-16,0.0
2001-04-18,-33.3333
2001-04-19,50.0
2001-04-20,-50.0
2001-04-23,100.0
2001-04-24,0.0
2001-04-25,-33.3333
2001-04-26,50.0
2001-04-27,8.3333
2001-04-30,-23.0769
2001-05-01,0.0
2001-05-02,-20.0
2001-05-03,0.0
2001-05-09,0.0
2001-05-10,-4.5
2001-05-11,0.0
2001-05-14,-0.5236
2001-05-16,-7.8947
2001-05-17,8.5714
2001-05-21,0.0
2001-05-22,-10.526299999999999
2001-05-23,-28.8235
2001-05-29,-0.8264
2001-05-30,-4.1667
2001-06-01,0.0
2001-06-05,0.0
2001-06-06,0.0
2001-06-07,0.0
2001-06-11,-4.3478
2001-06-12,0.0
2001-06-13,-8.1818
2001-06-18,13.8614
2001-06-19,-52.1739
2001-06-21,36.3636
2001-06-26,-33.3333
2001-07-02,0.0
2001-07-05,-24.0
2001-07-06,0.0
2001-07-13,-34.2105
2001-07-19,48.0
2001-07-20,-32.4324
2001-07-24,60.0
2001-07-25,-37.5
2001-07-30,60.0
2001-08-02,-37.5
2001-08-06,0.0
2001-08-07,0.0
2001-08-20,-59.6
2001-08-21,0.0
2001-09-05,8.9109
2001-09-20,-72.7273
2001-09-24,236.6667
2001-09-28,38.6139
