ticker,PBCO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-18,1.0417
2000-01-25,-1.0309
2000-03-09,-10.4167
2000-03-10,-1.3953
2000-03-13,-7.1226
2000-03-15,11.7318
2000-03-16,-6.8182
2000-03-22,7.3171
2000-04-13,0.0
2000-04-14,-9.0909
2000-05-09,-10.0
2000-05-12,11.1111
2000-05-19,-10.0
2000-05-31,0.0
2000-06-16,11.1111
2000-06-21,-1.25
2000-06-29,-2.8354
2000-07-27,-0.9901
2000-08-21,2.6316
2000-10-02,-2.5641
2000-10-06,0.0
2000-10-11,0.0
2000-10-30,3.2895
2000-11-08,-3.1847
2000-12-07,0.0
2000-12-12,0.0
2000-12-22,-2.6316
2001-01-02,9.4595
2001-01-03,-8.642
2001-02-13,2.7027
2001-02-16,-2.4211
2001-02-27,-2.9126
2001-03-09,0.0
2001-03-20,0.0
2001-03-29,0.0
2001-04-09,0.0
2001-04-16,11.1111
2001-06-05,-11.2
2001-06-07,1.3514
2001-06-11,0.0
2001-06-20,2.2222
2001-06-21,0.0
2001-07-10,0.0
2001-07-11,0.0
2001-07-26,-0.5435
2001-07-30,9.2896
2001-08-06,-8.5
2001-09-17,19.6721
2001-10-01,-8.6758
2001-11-07,-6.5
2001-11-16,0.0
2001-12-03,0.0
2001-12-26,0.0
2001-12-28,0.0
2002-01-04,1.6042999999999998
2002-02-15,7.3684
2002-02-21,0.0
2002-04-10,2.9412000000000003
2002-04-16,0.0
2002-04-29,-7.619
2002-05-20,8.2474
2002-06-10,0.0
2002-07-26,10.0
2002-09-05,0.0
2002-09-06,0.0
2002-09-17,0.0
2002-09-18,0.0
2002-09-25,5.9091000000000005
2002-10-24,-5.0644
2002-11-21,6.2387
2002-11-25,-2.1277
2002-12-24,13.0435
2003-01-07,-13.461500000000001
2003-01-23,6.6667
2003-01-28,-5.75
2003-01-30,0.0
2003-01-31,5.6587
2003-02-18,-5.0209
2003-02-21,6.2555
2003-02-27,-4.6434
2003-03-10,13.0435
2003-03-11,0.0
2003-03-21,-7.1154
2003-03-24,13.0435
2003-04-04,3.8462
2003-05-16,-5.1852
2003-06-04,-2.3437
2003-07-08,0.0
2003-07-15,12.0
2003-07-21,-9.857099999999999
2003-08-05,13.3122
2003-08-06,4.8951
2003-08-07,-6.6667
2003-08-11,-5.3571
2003-08-20,0.0
2003-08-28,0.3774
2003-10-08,5.2632
2003-10-15,-1.7856999999999998
2003-10-23,4.7273
2003-11-03,-1.0417
2003-11-20,5.2632
