ticker,AVYA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-20,1.0942
2017-12-21,-0.6615
2017-12-22,2.9055999999999997
2017-12-26,4.4118
2017-12-27,-1.4085
2017-12-28,0.2857
2017-12-29,0.0
2018-01-02,0.0
2018-01-03,0.2849
2018-01-04,0.0
2018-01-05,0.7386
2018-01-08,9.9831
2018-01-09,4.359
2018-01-10,-1.7199
2018-01-11,0.0
2018-01-12,1.0
2018-01-16,3.9604
2018-01-17,-0.9524
2018-01-18,-0.5769
2018-01-19,-0.9188
2018-01-22,-2.3914
2018-01-23,-2.95
2018-01-24,1.0819
2018-01-25,-1.3252
2018-01-26,3.0475
2018-01-29,0.7018
2018-01-30,1.2444
2018-01-31,2.6549
2018-02-01,0.91
2018-02-02,1.7086000000000001
2018-02-05,-1.9132
2018-02-06,0.666
2018-02-07,1.6068
2018-02-08,-1.0698
2018-02-09,-0.7052
2018-02-12,-0.5682
2018-02-13,1.9524
2018-02-14,2.9426
2018-02-15,-0.4083
2018-02-16,-0.1367
2018-02-20,-0.7755
2018-02-21,-2.2989
2018-02-22,-1.1764999999999999
2018-02-23,0.8571
2018-02-26,-0.8499
2018-02-27,-0.2857
2018-02-28,0.2388
2018-03-01,0.0476
2018-03-02,0.7619
2018-03-05,1.6068
2018-03-06,0.0
2018-03-07,-0.2326
2018-03-08,-0.373
2018-03-09,0.6083
2018-03-12,0.2326
2018-03-13,0.9745
2018-03-14,0.9651
2018-03-15,0.8193
2018-03-16,3.4763
2018-03-19,-2.4433
2018-03-20,2.3256
2018-03-21,0.5245
2018-03-22,-0.6522
2018-03-23,-1.6193
2018-03-26,1.379
2018-03-27,-1.1847
2018-03-28,-0.3552
2018-03-29,-0.1783
2018-04-02,-3.0357
2018-04-03,2.4401
2018-04-04,1.6179999999999999
2018-04-05,0.8403
2018-04-06,-0.1754
2018-04-09,-0.9666
2018-04-10,0.488
2018-04-11,-0.6181
2018-04-12,1.2439
2018-04-13,-0.1316
2018-04-16,1.0545
2018-04-17,0.087
2018-04-18,-0.4344
2018-04-19,-1.9634
2018-04-20,1.3796
2018-04-23,-0.7902
2018-04-24,1.2389000000000001
2018-04-25,-0.1748
2018-04-26,-0.1313
2018-04-27,0.5699
2018-04-30,-0.218
2018-05-01,-0.2621
2018-05-02,0.1752
2018-05-03,0.5684
2018-05-04,0.0
2018-05-07,1.6522000000000001
2018-05-08,0.0428
2018-05-09,0.4275
2018-05-10,-8.4717
2018-05-11,0.093
2018-05-14,-2.184
