ticker,PNAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-09-26,100.0
2016-10-20,20.0
2016-10-21,2.2727
2016-11-23,261.7778
2016-11-30,3.7879
2016-12-01,1.4599
2016-12-02,0.0
2016-12-07,9.3525
2016-12-08,-0.6579
2016-12-12,0.6623
2016-12-13,1.9737
2016-12-14,2.5806
2016-12-15,1.8868
2016-12-16,1.2346
2016-12-19,1.8293
2016-12-20,3.5928
2016-12-21,4.6243
2016-12-22,4.4199
2016-12-23,2.6455
2016-12-27,4.0045
2016-12-28,1.6015000000000001
2016-12-29,2.439
2016-12-30,5.2381
2017-01-03,6.3347999999999995
2017-01-04,5.5319
2017-01-05,3.629
2017-01-06,2.3346
2017-01-09,6.0837
2017-01-10,4.1219
2017-01-11,3.9587
2017-01-12,5.9603
2017-01-13,3.75
2017-01-17,2.7108
2017-01-18,2.6393
2017-01-19,2.0
2017-01-20,-14.5658
2017-01-23,-21.7705
2017-01-24,-34.6238
2017-01-25,38.4726
2017-01-26,13.4259
2017-01-27,-11.4286
2017-01-30,10.5991
2017-01-31,5.0
2017-02-01,2.3810000000000002
2017-02-02,23.2558
2017-02-03,6.2893
2017-02-06,-8.3524
2017-02-07,-9.2872
2017-02-08,3.5587
2017-02-09,-0.3436
2017-02-10,-8.2759
2017-02-13,-10.1504
2017-02-14,-5.4393
2017-02-15,3.9823
2017-02-16,1.7021
2017-02-17,-2.5105
2017-02-21,-11.588
2017-02-22,4.4812
2017-02-23,5.0033
2017-02-24,-6.6372
2017-02-27,-3.7915
2017-02-28,-1.4778
2017-03-01,-3.0
2017-03-02,-17.5258
2017-03-03,8.75
2017-03-06,5.7471
2017-03-07,4.3478
2017-03-08,-5.2083
2017-03-09,-3.2967
2017-03-10,2.2727
2017-03-13,-2.7778
2017-03-14,-1.7143000000000002
2017-03-15,-4.1279
2017-03-16,-4.7908
2017-03-17,-11.457
2017-03-20,-16.5543
2017-03-21,14.6552
2017-03-22,-2.2556
2017-03-23,3.0769
2017-03-24,10.4478
2017-03-27,-4.0541
2017-03-28,0.7042
2017-03-29,2.0979
2017-03-30,1.0017
2017-03-31,9.5448
2017-04-03,-5.9042
2017-04-04,-3.9474
2017-04-05,-5.4795
2017-04-06,-2.6087
2017-04-07,-5.5804
2017-04-10,-3.8613
2017-04-11,1.6393
2017-04-12,4.8387
2017-04-13,-3.8462
2017-04-17,-4.8
2017-04-18,-2.521
2017-04-19,6.8966
2017-04-20,-4.8387
2017-04-21,3.3898
