ticker,VMW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-14,75.8621
2007-08-15,13.1569
2007-08-16,-1.2476
2007-08-17,-2.5268
2007-08-20,3.2043
2007-08-21,15.1055
2007-08-22,1.3032
2007-08-23,5.0112
2007-08-24,1.567
2007-08-27,1.4025
2007-08-28,-3.4855
2007-08-29,-2.2643
2007-08-30,0.3812
2007-08-31,0.6281
2007-09-04,-2.0903
2007-09-05,-4.8036
2007-09-06,8.6902
2007-09-07,-0.4155
2007-09-10,10.446
2007-09-11,-0.1433
2007-09-12,2.1526
2007-09-13,-0.6513
2007-09-14,0.1671
2007-09-17,-5.4158
2007-09-18,0.2714
2007-09-19,5.0068
2007-09-20,-1.2242
2007-09-21,3.4703
2007-09-24,5.6992
2007-09-25,-0.7157
2007-09-26,-1.0453
2007-09-27,0.9228
2007-09-28,2.2618
2007-10-01,4.2588
2007-10-02,4.288
2007-10-03,-4.5120000000000005
2007-10-04,1.4958
2007-10-05,1.7417
2007-10-08,4.3454
2007-10-09,6.8567
2007-10-10,5.344
2007-10-11,-4.0639
2007-10-12,0.2824
2007-10-15,-4.0979
2007-10-16,1.1543
2007-10-17,4.0541
2007-10-18,-2.3088
2007-10-19,-3.7518000000000002
2007-10-22,4.7473
2007-10-23,3.6824
2007-10-24,-2.4776
2007-10-25,10.1236
2007-10-26,-1.6754
2007-10-29,7.7527
2007-10-30,-0.356
2007-10-31,3.7225
2007-11-01,-2.0668
2007-11-02,-4.1963
2007-11-05,-3.902
2007-11-06,-1.4304999999999999
2007-11-07,-7.6077
2007-11-08,-10.361
2007-11-09,-4.5059000000000005
2007-11-12,-8.411200000000001
2007-11-13,12.8422
2007-11-14,-3.8708
2007-11-15,-5.5868
2007-11-16,3.5844
2007-11-19,-3.8475
2007-11-20,0.793
2007-11-21,-2.3481
2007-11-23,-2.2806
2007-11-26,-9.3861
2007-11-27,8.5946
2007-11-28,13.0317
2007-11-29,3.6036
2007-11-30,0.5724
2007-12-03,3.94
2007-12-04,0.1158
2007-12-05,-4.8801
2007-12-06,-0.8182
2007-12-07,-0.9142
2007-12-10,5.1418
2007-12-11,1.9689999999999999
2007-12-12,4.1347
2007-12-13,-3.2551
2007-12-14,-0.3125
2007-12-17,-6.1129
2007-12-18,-1.1352
2007-12-19,1.9138
2007-12-20,0.6738
2007-12-21,-1.6458
2007-12-24,-1.0375
2007-12-26,-1.2175
2007-12-27,-3.0355
2007-12-28,-1.6122999999999998
2007-12-31,1.6627
