ticker,BXC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-12-14,0.0
2004-12-15,0.3704
2004-12-16,-0.2952
2004-12-17,-1.9245
2004-12-20,-0.9811
2004-12-21,1.2195
2004-12-22,-0.9789
2004-12-23,2.1293
2004-12-27,-0.5957
2004-12-28,1.6479
2004-12-29,0.958
2004-12-30,3.2847
2004-12-31,2.2615
2005-01-03,-2.4879
2005-01-04,-1.8427
2005-01-05,-1.0108
2005-01-06,-1.8963999999999999
2005-01-07,0.0
2005-01-10,0.7435
2005-01-11,1.0332
2005-01-12,-2.2644
2005-01-13,-0.0747
2005-01-14,1.0471
2005-01-18,-1.9245
2005-01-19,-0.3774
2005-01-20,-0.7576
2005-01-21,0.0
2005-01-24,1.9083999999999999
2005-01-25,3.4457
2005-01-26,-1.3758
2005-01-27,0.3671
2005-01-28,0.5121
2005-01-31,-0.3639
2005-02-01,2.9949
2005-02-02,2.4823
2005-02-03,3.1142
2005-02-04,2.6846
2005-02-07,-1.3072
2005-02-08,-0.6623
2005-02-09,-0.2667
2005-02-10,-0.0668
2005-02-11,0.8027
2005-02-14,-0.3318
2005-02-15,-0.5326
2005-02-16,0.8701
2005-02-17,0.4645
2005-02-18,-0.1982
2005-02-22,-1.0589
2005-02-23,-0.3344
2005-02-24,-0.6711
2005-02-25,4.3243
2005-02-28,-0.3238
2005-03-01,2.0143
2005-03-02,3.121
2005-03-03,0.1853
2005-03-04,4.0691
2005-03-07,3.7321999999999997
2005-03-08,2.7984
2005-03-09,0.0
2005-03-10,-17.5556
2005-03-11,1.6846
2005-03-14,4.3738
2005-03-15,1.5873
2005-03-16,1.0937000000000001
2005-03-17,-1.9938
2005-03-18,2.0343
2005-03-21,-4.486
2005-03-22,-2.1526
2005-03-23,-2.4667
2005-03-24,0.6152
2005-03-28,-2.1739
2005-03-29,-6.7361
2005-03-30,2.3083
2005-03-31,-1.6739000000000002
2005-04-01,1.7765
2005-04-04,0.1455
2005-04-05,-1.2346
2005-04-06,-1.3235000000000001
2005-04-07,1.7139
2005-04-08,-1.685
2005-04-11,-0.5216
2005-04-12,1.2734
2005-04-13,-1.8491
2005-04-14,-2.0347
2005-04-15,-0.9231
2005-04-18,-3.1056
2005-04-19,6.7308
2005-04-20,1.1261
2005-04-21,1.8559999999999999
2005-04-22,-5.5394
2005-04-25,-1.3117
2005-04-26,-1.4073
2005-04-27,-0.0793
2005-04-28,-3.9683
2005-04-29,-0.8264
2005-05-02,-1.0833
2005-05-03,1.0952
