ticker,NUVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-05-13,3.6364
2004-05-14,-2.193
2004-05-17,-5.2018
2004-05-18,3.0274
2004-05-19,-3.5813
2004-05-20,0.6667
2004-05-21,0.2838
2004-05-24,0.0
2004-05-25,6.6038
2004-05-26,1.6814
2004-05-27,-1.6536
2004-05-28,-0.4425
2004-06-01,1.2444
2004-06-02,0.7902
2004-06-03,-2.0035
2004-06-04,0.0889
2004-06-07,0.3552
2004-06-08,0.0885
2004-06-09,0.9726
2004-06-10,1.8389
2004-06-14,-2.7515
2004-06-15,-0.1768
2004-06-16,0.5314
2004-06-17,0.5286
2004-06-18,1.8405
2004-06-21,-3.1842
2004-06-22,4.3556
2004-06-23,-4.5997
2004-06-24,3.6607
2004-06-25,-0.1723
2004-06-28,-5.8671
2004-06-29,1.4665
2004-06-30,-1.084
2004-07-01,-3.5616
2004-07-02,-2.9356
2004-07-06,-7.122
2004-07-07,8.8235
2004-07-08,-4.4402
2004-07-09,3.7374
2004-07-12,0.779
2004-07-13,0.1932
2004-07-14,-0.675
2004-07-15,5.0485
2004-07-16,2.403
2004-07-19,0.1805
2004-07-20,-0.9009
2004-07-21,-8.818200000000001
2004-07-22,2.4925
2004-07-23,-0.0973
2004-07-26,-3.3106
2004-07-27,-0.7049
2004-07-28,2.9412000000000003
2004-07-29,-1.7734
2004-07-30,0.3009
2004-08-02,1.8
2004-08-03,-1.8664
2004-08-04,-1.3013
2004-08-05,-1.1156
2004-08-06,0.0
2004-08-09,2.6667
2004-08-10,-0.6993
2004-08-11,-2.4145
2004-08-12,-0.3299
2004-08-13,-3.1858
2004-08-16,-3.8462
2004-08-17,1.2222
2004-08-18,4.8299
2004-08-19,-2.4084
2004-08-20,4.3991
2004-08-23,-6.0637
2004-08-24,0.1094
2004-08-25,1.3115
2004-08-26,-1.2945
2004-08-27,5.1475
2004-08-30,0.8211
2004-08-31,-2.1649
2004-09-01,1.4752
2004-09-02,3.8422
2004-09-03,-0.5
2004-09-07,2.8141
2004-09-08,-2.2483
2004-09-09,2.3
2004-09-10,-1.3685
2004-09-13,3.2706
2004-09-14,-1.2476
2004-09-15,4.7619
2004-09-16,1.6698
2004-09-17,0.365
2004-09-20,0.4545
2004-09-21,-0.4525
2004-09-22,-7.0
2004-09-23,0.6843
2004-09-24,-1.4563
2004-09-27,-3.4483
2004-09-28,0.6122
2004-09-29,0.9128
2004-09-30,6.1307
2004-10-01,4.6402
2004-10-04,0.2715
2004-10-05,2.1661
