ticker,MZPS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-06-19,0.0
2015-06-25,-87.5
2015-07-06,0.0
2015-07-24,700.0
2015-07-30,-87.5
2015-09-29,-50.4
2015-12-30,101.6129
2015-12-31,0.0
2016-01-29,7900.0
2016-02-08,-90.0
2016-02-23,-87.5
2016-03-02,0.0
2016-03-29,700.0
2016-03-30,0.0
2016-04-20,0.0
2016-05-02,-87.5
2016-05-16,700.0
2016-09-08,-87.5
2016-09-19,0.0
2016-09-23,700.0
2016-09-28,0.0
2016-10-31,-87.5
2017-02-13,0.0
2017-02-27,-27.2
2017-03-13,449.4505
2017-03-30,0.0
2017-05-22,100.0
2017-06-23,-90.0
2017-11-07,49900.0
2017-11-28,-99.98
2017-12-06,900.0
2017-12-12,-99.0
2017-12-18,9900.0
2018-01-29,0.0
2018-05-31,0.0
2018-06-05,0.0
2018-08-07,0.0
2018-11-21,130.0
2019-01-25,-13.0435
2019-04-08,-50.0
2019-04-09,100.0
2019-04-24,-99.5
2019-05-15,39900.0001
2019-05-16,0.0
2019-06-07,-93.5
2019-08-07,230.7692
2019-09-17,-98.8372
2019-09-23,0.0
2019-11-14,0.0
2019-11-25,9900.0
2019-12-03,0.0
2019-12-23,-99.0
2019-12-31,9900.0
2020-01-07,0.0
2020-05-15,-90.0
