ticker,NEOS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-23,30.2667
2015-07-24,4.9642
2015-07-27,-2.7304
2015-07-28,-3.0576
2015-07-29,4.0331
2015-07-30,-2.7833
2015-07-31,2.3006
2015-08-03,5.7971
2015-08-04,-5.385
2015-08-05,11.0334
2015-08-06,-0.2248
2015-08-07,1.7125
2015-08-10,-2.0381
2015-08-11,-9.498
2015-08-12,8.8956
2015-08-13,-5.1859
2015-08-14,-0.1452
2015-08-17,7.6587
2015-08-18,0.8104
2015-08-19,1.0719
2015-08-20,3.0049
2015-08-21,6.8211
2015-08-24,-7.8313
2015-08-25,3.9651
2015-08-26,7.7955
2015-08-27,3.3826
2015-08-28,1.8803999999999998
2015-08-31,-1.1443
2015-09-01,-4.7797
2015-09-02,4.0
2015-09-03,-7.9186
2015-09-04,-3.9312
2015-09-08,-1.9607999999999999
2015-09-09,-8.4348
2015-09-10,4.2735
2015-09-11,6.102
2015-09-14,-1.8455
2015-09-15,1.0057
2015-09-16,-0.8658
2015-09-17,-1.441
2015-09-18,-5.2725
2015-09-21,-4.116
2015-09-22,-3.3659
2015-09-23,-2.3221
2015-09-24,-0.0517
2015-09-25,-0.6722
2015-09-28,-6.1947
2015-09-29,8.657
2015-09-30,7.3034
2015-10-01,-5.664
2015-10-02,5.3986
2015-10-05,1.3404
2015-10-06,-7.6523
2015-10-07,0.3581
2015-10-08,-1.8349
2015-10-09,-2.9595000000000002
2015-10-12,1.1771
2015-10-13,-2.8556
2015-10-14,1.5787
2015-10-15,2.09
2015-10-16,-2.6772
2015-10-19,0.2697
2015-10-20,-32.9209
2015-10-21,-0.3208
2015-10-22,-2.4939999999999998
2015-10-23,1.8977
2015-10-26,3.7247
2015-10-27,2.6542
2015-10-28,5.2471
2015-10-29,1.4451
2015-10-30,0.8547
2015-11-02,2.613
2015-11-03,-1.5829
2015-11-04,-2.5874
2015-11-05,-1.0768
2015-11-06,-1.016
2015-11-09,-3.8856
2015-11-10,-2.1358
2015-11-11,11.3016
2015-11-12,3.7115
2015-11-13,-2.6334
2015-11-16,-3.19
2015-11-17,-1.8625
2015-11-18,9.854
2015-11-19,-0.2658
2015-11-20,4.1306
2015-11-23,4.9904
2015-11-24,-2.6813000000000002
2015-11-25,1.3776
2015-11-27,-3.2736
2015-11-30,-1.2771
2015-12-01,-1.0349
2015-12-02,-0.0654
2015-12-03,-2.9431000000000003
2015-12-04,-1.8194
2015-12-07,0.2059
2015-12-08,0.4795
