ticker,PNGM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-12-10,-6.25
2007-12-13,133.3333
2007-12-24,0.0
2007-12-28,-42.8571
2008-01-15,-40.0
2008-01-16,4.1667
2008-01-29,-20.0
2008-01-30,-20.0
2008-01-31,0.0
2008-02-01,-31.25
2008-02-04,9.0909
2008-02-12,0.0
2008-02-27,33.3333
2008-03-03,0.0
2008-03-06,25.0
2008-04-02,-10.0
2008-04-09,11.1111
2008-04-15,50.0
2008-04-28,-20.0
2008-05-23,66.6667
2008-05-27,50.0
2008-05-29,0.0
2008-06-03,33.3333
2008-06-04,-12.5
2008-06-05,0.0
2008-06-26,28.5714
2008-07-24,-11.1111
2008-09-03,-22.5
2008-09-30,-3.2258
2008-10-01,0.0
2008-10-02,33.3333
2008-10-15,-25.0
2008-10-16,-16.6667
2008-11-13,0.0
2008-12-02,-40.0
2009-01-02,0.0
2009-01-05,0.0
2009-01-14,0.0
2009-01-15,0.0
2009-01-20,-20.0
2009-01-22,0.0
2009-01-30,25.0
2009-02-10,13.3333
2009-02-17,29.4118
2009-02-25,13.6364
2009-03-06,12.0
2009-03-11,7.1429
2009-03-18,116.6667
2009-03-30,-53.8462
2009-04-02,123.3333
2009-04-03,0.0
2009-04-09,-2.9851
2009-04-14,15.3846
2009-04-30,20.0
2009-05-01,-16.6667
2009-05-22,20.0
2009-05-26,-16.6667
2009-06-03,20.0
2009-06-25,-33.3333
2009-07-08,155.0
2009-07-09,0.0
2009-07-21,17.647100000000002
2009-07-28,-50.0
2009-08-17,0.0
2009-08-25,-13.3333
2009-09-01,0.0
2009-10-21,38.4615
2009-10-23,11.1111
2009-11-10,0.0
2009-12-31,-12.5
2010-01-19,14.2857
2010-01-20,17.5
2010-01-21,-10.6383
2010-01-22,-4.7917
2010-01-25,-14.9734
2010-01-26,-20.5882
2010-01-27,-0.0463
2010-01-28,-22.1862
2010-01-29,23.3333
2010-02-01,0.0
2010-02-02,4.2471
2010-02-03,0.0
2010-02-04,0.0
2010-02-05,3.7037
2010-02-08,-14.2857
2010-02-09,-16.6667
2010-02-10,0.0
2010-02-11,0.0
2010-02-12,0.0
2010-02-16,-14.9375
2010-02-17,0.0
2010-02-18,-0.0735
2010-02-19,-11.7647
2010-02-22,0.0
2010-02-23,0.0
2010-02-26,-10.0
2010-03-01,-20.0
2010-03-02,1.8519
2010-03-04,-1.8182
2010-03-05,1.8519
2010-03-08,0.0
2010-03-12,0.0
2010-03-15,0.0
2010-03-16,9.0909
