ticker,BTGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-13,0.0
2005-10-20,0.0
2005-11-08,-10.0
2005-11-11,-16.6667
2005-11-15,-13.3333
2005-11-16,-3.8462
2005-11-17,-8.0
2005-11-21,4.3478
2005-11-25,4.1667
2005-11-28,0.0
2005-11-30,-3.2
2005-12-01,0.0
2005-12-05,15.7025
2005-12-09,-10.7143
2005-12-20,4.0
2005-12-28,0.0
2006-01-03,-15.3846
2006-01-05,22.7273
2006-01-06,11.1111
2006-01-09,-20.0
2006-01-10,-12.5
2006-01-11,9.5238
2006-01-12,-3.4783
2006-01-13,-27.9279
2006-01-17,-28.75
2006-01-18,0.0
2006-01-19,0.0
2006-01-20,8.7719
2006-01-23,22.5806
2006-01-24,18.4211
2006-01-25,-7.7778
2006-01-26,0.6024
2006-01-27,7.7844
2006-01-30,-5.5556
2006-01-31,-11.7647
2006-02-01,-9.3333
2006-02-02,-19.1176
2006-02-03,3.6364
2006-02-06,-28.0702
2006-02-07,-2.439
2006-02-08,2.5
2006-02-09,-9.7561
2006-02-10,-2.7027
2006-02-13,-2.7778
2006-02-14,-8.5714
2006-02-15,-6.25
2006-02-16,-10.0
2006-02-17,7.4074
2006-02-21,3.4483
2006-02-23,16.6667
2006-03-01,5.7143
2006-03-06,2.7027
2006-03-07,-2.6316
2006-03-09,-18.9189
2006-03-10,-6.6667
2006-03-13,-10.7143
2006-03-14,-20.0
2006-03-15,5.0
2006-03-16,76.1905
2006-03-17,64.8649
2006-03-20,4.918
2006-03-21,-10.9375
2006-03-22,0.0
2006-03-23,12.2807
2006-03-24,17.1875
2006-03-27,-13.3333
2006-03-29,-6.1538
2006-03-30,19.6721
2006-03-31,-1.3699
2006-04-03,-4.1667
2006-04-04,-1.4493
2006-04-05,-5.8824
2006-04-06,12.5
2006-04-07,-2.7778
2006-04-10,-1.4285999999999999
2006-04-11,1.4493
2006-04-12,-7.1429
2006-04-13,-4.6154
2006-04-17,-11.2903
2006-04-19,12.7273
2006-04-20,-3.2258
2006-04-21,3.3333
2006-04-24,-3.2258
2006-04-25,3.3333
2006-04-26,12.9032
2006-04-28,-12.857099999999999
2006-05-02,13.1148
2006-05-03,-13.0435
2006-05-05,-15.0
2006-05-08,5.8824
2006-05-09,-3.7037
2006-05-10,5.7692
2006-05-11,0.0
2006-05-12,27.2727
2006-05-15,-5.7143
2006-05-16,-28.7879
2006-05-17,0.0
2006-05-18,-8.5106
2006-05-19,23.2558
2006-05-22,-13.2075
