ticker,IPOC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-06-15,1.2745
2020-06-16,0.6776
2020-06-17,0.9615
2020-06-18,0.9524
2020-06-19,0.0
2020-06-22,3.9623
2020-06-23,0.5445
2020-06-24,-1.1733
2020-06-25,0.3653
2020-06-26,-0.455
2020-06-29,0.8227
2020-06-30,1.3599
2020-07-01,-1.9678
2020-07-02,-1.0027
2020-07-06,0.8286
2020-07-07,-0.9141
2020-07-08,-0.1845
2020-07-09,1.5712000000000002
2020-07-10,2.1838
2020-07-13,-1.1576
2020-07-14,-1.1712
2020-07-15,0.1823
2020-07-16,-0.364
2020-07-17,0.9132
2020-07-20,0.9955
2020-07-21,-0.2688
2020-07-22,0.6289
2020-07-23,-1.6071
2020-07-24,0.4537
2020-07-27,0.0
2020-07-28,-0.6323
2020-07-29,-1.3636
2020-07-30,-1.8433000000000002
2020-07-31,-0.939
