ticker,IGLDF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,12.3596
2000-01-04,-11.0
2000-01-05,-6.1798
2000-01-06,-6.2874
2000-01-07,-2.5559
2000-01-10,10.1639
2000-01-11,1.4881
2000-01-12,-2.6393
2000-01-13,4.2169
2000-01-14,-4.0462
2000-01-18,-3.012
2000-01-19,1.5528
2000-01-20,9.7859
2000-01-21,-1.9499
2000-01-24,-9.0909
2000-01-25,0.0
2000-01-26,0.625
2000-01-27,4.9689
2000-01-28,-2.9586
2000-01-31,-4.2683
2000-02-01,0.0
2000-02-02,2.2293
2000-02-03,4.3614
2000-02-04,-3.5821
2000-02-07,0.3096
2000-02-08,-1.2346
2000-02-09,-5.625
2000-02-10,11.2583
2000-02-11,0.0
2000-02-14,-3.5714
2000-02-15,-2.4691
2000-02-16,1.2658
2000-02-17,6.875
2000-02-18,12.5731
2000-02-22,-4.6753
2000-02-23,-8.4469
2000-02-24,8.3333
2000-02-25,5.2198
2000-02-28,3.9164
2000-02-29,-2.7638
2000-03-01,-0.7752
2000-03-02,-2.0833
2000-03-03,10.1064
2000-03-06,-9.1787
2000-03-07,6.9149
2000-03-08,-6.4677
2000-03-09,15.9574
2000-03-10,10.0917
2000-03-13,-6.6667
2000-03-14,-4.0179
2000-03-15,-3.2558
2000-03-16,2.1635
2000-03-17,4.7059
2000-03-20,-4.7191
2000-03-21,-6.6038
2000-03-22,-1.5152
2000-03-23,-0.7692
2000-03-24,-3.6176
2000-03-27,-0.8043
2000-03-28,-3.5135
2000-03-29,-5.8824
2000-03-30,-15.4762
2000-03-31,40.493
2000-04-03,-18.797
2000-04-04,-16.6667
2000-04-05,5.1852
2000-04-06,1.4085
2000-04-07,1.3889
2000-04-10,-6.8493
2000-04-11,-3.0331
2000-04-12,-21.1374
2000-04-13,9.1346
2000-04-14,-15.4185
2000-04-17,-8.3333
2000-04-18,7.9545
2000-04-19,1.0526
2000-04-20,-7.8125
2000-04-24,-4.096
2000-04-25,6.0383
2000-04-26,-2.7778
2000-04-27,1.7143000000000002
2000-04-28,3.3708
2000-05-01,-4.3478
2000-05-02,0.0
2000-05-03,0.0
2000-05-04,1.7045
2000-05-05,5.0279
2000-05-08,-1.0638
2000-05-09,-5.3763
2000-05-10,-4.5455
2000-05-11,0.0
2000-05-12,4.1667
2000-05-15,-1.7143000000000002
2000-05-16,-5.2326
2000-05-17,-1.227
2000-05-18,-7.4534
2000-05-19,-5.3690999999999995
2000-05-22,4.9645
