ticker,ARQT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-01-31,28.2353
2020-02-03,15.2752
2020-02-04,2.0294
2020-02-05,-1.5991
2020-02-06,-1.9421
2020-02-07,6.6693999999999996
2020-02-10,0.4168
2020-02-11,-0.9811
2020-02-12,-1.8674
2020-02-13,2.2524
2020-02-14,-3.1143
2020-02-18,-0.0392
2020-02-19,4.2745
2020-02-20,1.1659
2020-02-21,0.5576
2020-02-24,2.0702
2020-02-25,-4.636
2020-02-26,8.3935
2020-02-27,-3.2586
2020-02-28,-3.7486
2020-03-02,3.1044
2020-03-03,0.2555
2020-03-04,0.8737
2020-03-05,-0.2526
2020-03-06,2.2069
2020-03-09,0.3894
2020-03-10,7.6516
2020-03-11,-18.1133
2020-03-12,-10.72
2020-03-13,1.5232999999999999
2020-03-16,-16.2401
2020-03-17,0.7376
2020-03-18,-3.2427
2020-03-19,36.3784
2020-03-20,32.065
2020-03-23,10.744299999999999
2020-03-24,-0.4878
2020-03-25,-11.329
2020-03-26,-4.7912
2020-03-27,-11.7742
2020-03-30,8.5923
2020-03-31,0.3367
2020-04-01,-13.3557
2020-04-02,0.0775
2020-04-03,-1.8963
2020-04-06,11.8343
2020-04-07,0.5291
2020-04-08,-4.6667
2020-04-09,17.5929
2020-04-13,-1.6275
2020-04-14,-1.5908
2020-04-15,-18.2024
2020-04-16,5.1779
2020-04-17,2.5179
2020-04-20,0.4399
2020-04-21,3.3577
2020-04-22,1.4123999999999999
2020-04-23,-5.3621
2020-04-24,8.9404
2020-04-27,0.5741
2020-04-28,-2.7199
2020-04-29,2.1747
2020-04-30,0.4054
2020-05-01,-12.5168
2020-05-04,-1.2692
2020-05-05,-0.3116
2020-05-06,-1.524
2020-05-07,-2.8571
2020-05-08,0.0817
2020-05-11,9.3878
2020-05-12,-7.8358
2020-05-13,8.5425
2020-05-14,-5.11
2020-05-15,0.4717
2020-05-18,13.3412
2020-05-19,-8.5606
2020-05-20,10.268
2020-05-21,0.5135
2020-05-22,0.7493
2020-05-26,1.2508
2020-05-27,0.8347
2020-05-28,-0.7285
2020-05-29,11.9079
2020-06-01,1.3115
2020-06-02,-7.7964
2020-06-03,6.9879
2020-06-04,-9.0367
2020-06-05,3.0492
2020-06-08,-6.6179
2020-06-09,-4.5656
2020-06-10,1.7494
2020-06-11,-10.3333
2020-06-12,-0.0978
2020-06-15,15.3937
2020-06-16,-0.6449
2020-06-17,-0.9566
2020-06-18,2.3111
2020-06-19,13.9582
2020-06-22,8.1657
2020-06-23,-11.105
2020-06-24,-0.3077
2020-06-25,0.9568
2020-06-26,-0.7337
2020-06-29,1.6631
2020-06-30,-8.3914
2020-07-01,5.2579
2020-07-02,0.5655
2020-07-06,0.8435
2020-07-07,-0.8674
2020-07-08,-2.5
2020-07-09,-6.891
2020-07-10,0.1377
2020-07-13,-5.2252
2020-07-14,2.6115
2020-07-15,2.2976
2020-07-16,-3.6628
2020-07-17,4.0172
2020-07-20,0.2069
2020-07-21,-2.1335
2020-07-22,-2.602
2020-07-23,-0.361
2020-07-24,-1.1594
2020-07-27,2.5293
2020-07-28,0.7866
2020-07-29,-2.2348
2020-07-30,0.2177
2020-07-31,-3.3309
