ticker,SMPR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-29,-99.9997
2007-11-05,79900.0
2007-11-16,-50.0
2007-12-06,-40.0
2007-12-14,0.0
2007-12-26,0.0
2008-02-22,-65.0
2008-02-27,-4.7619
2008-02-28,1.0
2008-03-04,48.5149
2008-03-05,50.0
2008-03-13,-51.1111
2008-04-29,0.0
2008-07-11,0.0
2008-07-25,-8.1818
2008-07-28,-0.9901
2008-09-18,-70.0
2009-03-10,-50.0
2009-09-15,-66.6667
2009-10-14,13900.0
2009-10-23,-78.5714
2009-12-29,33.3333
2009-12-30,0.0
2009-12-31,-25.0
2010-01-04,0.0
2010-01-05,0.0
2010-01-06,6.6667
2010-01-07,0.0
2010-01-08,-6.25
2010-01-11,0.0
2010-01-12,6.6667
2010-01-13,3.125
2010-01-14,0.0
2010-01-15,0.0
2010-01-19,0.0
2010-01-21,-9.0909
2010-01-22,10.0
2010-01-25,-8.4848
2010-01-29,9.2715
2010-02-01,-9.0909
2010-02-03,3.3333
2010-02-05,-12.9032
2010-02-08,-7.4074
2010-02-10,0.0
2010-02-11,4.0
2010-02-12,0.0
2010-02-17,-22.3077
2010-02-19,0.0
2010-02-22,23.7624
2010-02-23,-19.2
2010-02-25,0.0
2010-02-26,23.7624
2010-03-02,0.0
2010-03-03,16.0
2010-03-04,2.7586
2010-03-05,-15.4362
2010-03-08,-0.7937
2010-03-09,-1.6
2010-03-10,-2.439
2010-03-11,-0.8333
2010-03-12,2.521
2010-03-15,22.9508
2010-03-16,-32.6667
2010-03-17,18.8119
2010-03-18,-15.8333
2010-03-19,28.7129
2010-03-22,3.8462
2010-03-23,-25.1852
2010-03-29,3.9604
2010-03-30,0.9524
2010-03-31,0.0
2010-04-01,-15.0943
2010-04-05,35.5556
2010-04-06,15.5738
2010-04-07,6.383
2010-04-08,0.0
2010-04-09,6.6667
2010-04-12,5.625
2010-04-13,-8.284
2010-04-14,16.7742
2010-04-15,-0.5525
2010-04-16,-5.0
2010-04-19,8.1871
2010-04-20,0.0
2010-04-21,4.8649000000000004
2010-04-22,-3.0928
2010-04-23,-1.0638
2010-04-26,1.0753
2010-04-28,-14.8936
2010-04-30,-14.25
2010-05-04,-8.8921
2010-05-07,19.2
2010-05-10,-1.3423
2010-05-11,2.0408
2010-05-12,0.0
2010-05-13,10.0
2010-05-14,-3.0303
2010-05-17,0.0
2010-05-18,7.5
2010-05-19,0.0
2010-05-26,-5.814
2010-05-28,-4.321
2010-06-02,0.0
