ticker,TRGP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-07,12.2727
2010-12-08,3.8462
2010-12-09,-0.3119
2010-12-10,0.2738
2010-12-13,3.4321
2010-12-14,0.0754
2010-12-15,-1.8086
2010-12-16,2.878
2010-12-17,1.865
2010-12-20,0.8056
2010-12-21,-1.7436
2010-12-22,-0.6285
2010-12-23,-0.0744
2010-12-27,-1.3031
2010-12-28,1.0939
2010-12-29,1.306
2010-12-30,-0.442
2010-12-31,-0.8139
2011-01-03,0.7087
2011-01-04,0.5926
2011-01-05,0.6627
2011-01-06,2.3775
2011-01-07,-0.6788
2011-01-10,-1.4388
2011-01-11,0.6934
2011-01-12,2.7546
2011-01-13,-1.1287
2011-01-14,0.9989
2011-01-18,3.6383
2011-01-19,-1.6019
2011-01-20,1.8705
2011-01-21,0.0
2011-01-24,2.3461
2011-01-25,0.299
2011-01-26,0.6956
2011-01-27,-0.0329
2011-01-28,0.6252
2011-01-31,0.4905
2011-02-01,-0.0599
2011-02-02,-1.5987
2011-02-03,-2.5862
2011-02-04,2.1784
2011-02-07,-0.0666
2011-02-08,4.0
2011-02-09,0.5128
2011-02-10,-1.2117
2011-02-11,0.1291
2011-02-14,1.354
2011-02-15,1.3995
2011-02-16,1.0665
2011-02-17,-0.3724
2011-02-18,0.7477
2011-02-22,-1.3296000000000001
2011-02-23,0.094
2011-02-24,0.3131
2011-02-25,1.7478
2011-02-28,0.5215
2011-03-01,-0.5188
2011-03-02,1.1656
2011-03-03,-0.758
2011-03-04,1.4971
2011-03-07,2.1975
2011-03-08,-1.0898
2011-03-09,-1.221
2011-03-10,-2.9243
2011-03-11,0.4658
2011-03-14,-0.9274
2011-03-15,-0.3432
2011-03-16,0.814
2011-03-17,3.5714
2011-03-18,4.4078
2011-03-21,1.9242
2011-03-22,2.1414
2011-03-23,-3.5586
2011-03-24,-0.6007
2011-03-25,1.7266
2011-03-28,-0.4809
2011-03-29,0.5117
2011-03-30,0.3959
2011-03-31,2.0845
2011-04-01,-0.5519
2011-04-04,-5.9933
2011-04-05,0.2066
2011-04-06,-0.5302
2011-04-07,-0.5034
2011-04-08,-0.3274
2011-04-11,-1.284
2011-04-12,-0.8469
2011-04-13,2.288
2011-04-14,-0.7754
2011-04-15,1.5029
2011-04-18,-0.0888
2011-04-19,-2.1858
2011-04-20,6.9355
2011-04-21,-1.0286
2011-04-25,-0.2887
2011-04-26,2.8373
2011-04-27,1.295
2011-04-28,-0.6392
2011-04-29,-2.042
