ticker,FEYE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-09-20,80.0
2013-09-23,4.0278
2013-09-24,-1.1749
2013-09-25,4.8365
2013-09-26,7.2938
2013-09-27,-1.2490999999999999
2013-09-30,1.0216
2013-10-01,-2.7691
2013-10-02,0.7925
2013-10-03,-0.5651
2013-10-04,5.4855
2013-10-07,-0.082
2013-10-08,-6.4822
2013-10-09,-2.7074
2013-10-10,6.9054
2013-10-11,1.3979
2013-10-14,-1.236
2013-10-15,-1.8773
2013-10-16,-2.2026
2013-10-17,5.8387
2013-10-18,0.4028
2013-10-21,-3.2334
2013-10-22,-2.8049
2013-10-23,-0.2509
2013-10-24,6.9434000000000005
2013-10-25,-3.0346
2013-10-28,-2.984
2013-10-29,0.5751
2013-10-30,-3.8041
2013-10-31,-2.0419
2013-11-01,1.3984
2013-11-04,-1.5613000000000001
2013-11-05,-1.2424
2013-11-06,6.7719000000000005
2013-11-07,-4.6628
2013-11-08,-0.7889
2013-11-11,-1.0602
2013-11-12,-1.6073
2013-11-13,5.2546
2013-11-14,0.0259
2013-11-15,0.4913
2013-11-18,-4.0916
2013-11-19,-3.3807
2013-11-20,-6.6926
2013-11-21,1.8452
2013-11-22,1.9870999999999999
2013-11-25,-3.4097
2013-11-26,10.8573
2013-11-27,2.3281
2013-11-29,0.34
2013-12-02,-3.3359
2013-12-03,-0.2157
2013-12-04,-0.8106
2013-12-05,0.109
2013-12-06,-0.4354
2013-12-09,0.9292
2013-12-10,1.8142
2013-12-11,0.4255
2013-12-12,-0.7945
2013-12-13,2.3225
2013-12-16,1.5914000000000001
2013-12-17,-0.1798
2013-12-18,1.2606
2013-12-19,2.0833
2013-12-20,-1.5431
2013-12-23,0.5814
2013-12-24,0.7791
2013-12-26,8.3042
2013-12-27,-0.6908
2013-12-30,1.2984
2013-12-31,-0.1831
2014-01-02,-5.6868
2014-01-03,38.6336
2014-01-06,2.6131
2014-01-07,3.4011
2014-01-08,-5.8512
2014-01-09,1.6503
2014-01-10,-0.1727
2014-01-13,-3.737
2014-01-14,5.8052
2014-01-15,11.1772
2014-01-16,8.4645
2014-01-17,3.6343
2014-01-21,-5.6137
2014-01-22,6.178
2014-01-23,-0.7595
2014-01-24,-8.0224
2014-01-27,1.4562
2014-01-28,2.2847
2014-01-29,-2.1907
2014-01-30,1.5078
2014-01-31,5.2639
2014-02-03,-8.8642
2014-02-04,0.4811
2014-02-05,-1.0922
2014-02-06,0.242
2014-02-07,6.73
2014-02-10,8.6526
