ticker,BEHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-09-08,-10.7143
2004-09-10,-20.0
2004-10-11,0.0
2004-11-11,0.0
2004-11-12,-10.0
2004-11-26,16.6667
2004-12-06,-9.5238
2004-12-20,-5.2632
2005-01-14,22.2222
2005-01-18,-18.1818
2005-03-23,22.2222
2005-03-28,-4.5455
2005-04-08,-28.5714
2005-04-11,-20.0
2005-04-14,-16.6667
2005-04-21,-40.0
2005-04-22,-16.6667
2005-04-25,0.0
2005-05-20,40.0
2005-06-13,0.0
2005-06-14,14.2857
2005-06-16,-31.25
2005-06-17,9.0909
2005-06-24,-16.6667
2005-06-27,0.0
2005-06-28,20.0
2005-06-29,-33.3333
2005-06-30,-25.0
2005-07-01,0.0
2005-07-06,0.0
2005-07-11,33.3333
2005-07-13,-25.0
2005-07-14,0.0
2005-07-18,33.3333
2005-07-19,-50.0
2005-07-20,-50.0
2005-07-26,50.0
2005-07-29,0.0
2005-08-01,33.3333
2005-08-15,-25.0
2005-08-30,33.3333
2005-08-31,-50.0
2005-11-11,100.0
2005-12-02,-50.0
2005-12-08,400.0
2005-12-30,0.0
2006-01-09,0.0
2006-01-11,-60.0
2006-01-12,0.0
2006-01-27,0.0
2006-06-09,0.0
2007-01-30,150.0
2007-05-07,-40.0
2007-05-08,66.6667
2007-07-23,0.0
2007-09-11,-20.0
2007-09-25,0.0
2007-09-26,-50.0
2007-10-15,100.0
2007-11-05,-6.25
2008-01-09,-73.3333
2008-01-14,-83.3333
2008-01-16,-80.0
2008-01-29,18900.0
2008-02-12,-46.8421
2008-02-14,-49.505
2008-03-18,-56.8627
2008-05-02,9.0909
2008-05-05,0.0
2008-05-06,4.1667
2008-05-07,0.0
2008-05-08,0.0
2008-05-09,-4.0
2008-05-28,-4.1667
2008-06-18,0.0
2008-08-12,-13.0435
2008-08-13,-10.0
2008-08-21,27.7778
2008-09-02,-34.7826
2008-09-03,13.3333
2008-09-04,0.0
2008-09-10,0.0
2008-09-11,-11.7647
2008-09-12,-33.3333
2008-09-17,10.0
2008-09-19,-9.0909
2008-09-22,20.0
2008-09-23,-16.6667
2008-09-24,-10.0
2008-09-25,33.3333
2008-09-26,-25.0
2008-09-29,-55.5556
2008-09-30,0.0
2008-10-01,0.0
2008-10-02,-25.0
2008-10-03,-33.3333
2008-10-07,-50.0
2008-10-08,0.0
2008-10-09,100.0
2008-10-10,-50.0
2008-10-14,0.0
2008-10-15,300.0
2008-10-16,0.0
2008-10-17,-75.0
