ticker,TGH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-10-10,3.0303
2007-10-11,-4.1176
2007-10-12,0.7362
2007-10-15,-0.6699
2007-10-16,1.2262
2007-10-17,0.848
2007-10-18,-1.021
2007-10-19,-1.517
2007-10-22,0.4313
2007-10-23,-0.0613
2007-10-24,-1.7802
2007-10-25,2.875
2007-10-26,-0.1215
2007-10-29,-1.4599
2007-10-30,-1.6667
2007-10-31,-0.4394
2007-11-01,-0.3153
2007-11-02,1.0753
2007-11-05,0.8761
2007-11-06,0.7444
2007-11-07,-1.7856999999999998
2007-11-08,0.0
2007-11-09,-3.0094
2007-11-12,-7.6923
2007-11-13,-1.6106
2007-11-14,-0.2135
2007-11-15,-4.2805
2007-11-16,3.2051
2007-11-19,2.0939
2007-11-20,0.9194
2007-11-21,-2.9432
2007-11-23,2.1245
2007-11-26,-0.7174
2007-11-27,-0.289
2007-11-28,4.7101
2007-11-29,9.4118
2007-11-30,3.4156
2007-12-03,-1.2844
2007-12-04,0.0
2007-12-05,1.5489000000000002
2007-12-06,-0.4881
2007-12-07,1.1649
2007-12-10,0.2424
2007-12-11,-1.0278
2007-12-12,-0.3054
2007-12-13,0.1225
2007-12-14,-0.1836
2007-12-17,-1.1649
2007-12-18,-1.6749
2007-12-19,-0.1262
2007-12-20,-6.1276
2007-12-21,-4.105
2007-12-24,1.8947
2007-12-26,5.5785
2007-12-27,-4.8271
2007-12-28,-0.4798
2007-12-31,0.0689
2008-01-02,0.4129
2008-01-03,-0.5483
2008-01-04,-0.0689
2008-01-07,-0.6897
2008-01-08,-2.7083
2008-01-09,-4.7109
2008-01-10,-0.7491
2008-01-11,-0.3774
2008-01-14,-0.1515
2008-01-15,-2.2762000000000002
2008-01-16,-1.6303999999999998
2008-01-17,-6.8666
2008-01-18,-0.8475
2008-01-22,-4.9573
2008-01-23,4.6763
2008-01-24,-3.866
2008-01-25,0.5362
2008-01-28,5.7778
2008-01-29,-0.3361
2008-01-30,-4.8061
2008-01-31,-4.3401
2008-02-01,0.9259
2008-02-04,-0.9174
2008-02-05,-1.2037
2008-02-06,5.0609
2008-02-07,12.3104
2008-02-08,12.8674
2008-02-11,-3.1668
2008-02-12,-2.689
2008-02-13,3.8834999999999997
2008-02-14,-0.5751
2008-02-15,-2.6753
2008-02-19,-2.9718
2008-02-20,-0.2297
2008-02-21,4.5280000000000005
2008-02-22,5.5066
2008-02-25,-0.3479
2008-02-26,0.4888
2008-02-27,-0.4864
2008-02-28,4.2598
