ticker,AR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-10,18.2045
2013-10-11,2.4803
2013-10-14,4.3902
2013-10-15,2.5521000000000003
2013-10-16,0.8763
2013-10-17,-4.6213
2013-10-18,0.4189
2013-10-21,0.0
2013-10-22,-1.4148
2013-10-23,0.8648
2013-10-24,0.6932
2013-10-25,2.1377
2013-10-28,1.0997
2013-10-29,-1.1754
2013-10-30,0.9054
2013-10-31,-0.6158
2013-11-01,-2.3721
2013-11-04,-0.3083
2013-11-05,0.382
2013-11-06,-0.2718
2013-11-07,-1.8895
2013-11-08,3.037
2013-11-11,-2.4443
2013-11-12,-0.0737
2013-11-13,-0.3134
2013-11-14,-0.4994
2013-11-15,-0.5204
2013-11-18,-2.7279999999999998
2013-11-19,1.2294
2013-11-20,-0.0569
2013-11-21,1.5569
2013-11-22,3.5708
2013-11-25,-0.3971
2013-11-26,-0.145
2013-11-27,-0.4356
2013-11-29,0.0729
2013-12-02,-1.2204
2013-12-03,0.2028
2013-12-04,0.1104
2013-12-05,0.5331
2013-12-06,-0.9325
2013-12-09,0.2215
2013-12-10,4.6777
2013-12-11,-1.3899
2013-12-12,1.124
2013-12-13,-0.4764
2013-12-16,0.2836
2013-12-17,3.341
2013-12-18,1.8474
2013-12-19,-0.907
2013-12-20,1.5424
2013-12-23,0.7011
2013-12-24,1.2432
2013-12-26,-0.131
2013-12-27,2.2622999999999998
2013-12-30,-0.2084
2013-12-31,1.9116
2014-01-02,-3.8777
2014-01-03,-0.4264
2014-01-06,-2.915
2014-01-07,-2.8159
2014-01-08,1.1346
2014-01-09,-3.1757
2014-01-10,-1.7290999999999999
2014-01-13,-1.2334
2014-01-14,1.6896
2014-01-15,1.192
2014-01-16,1.8205
2014-01-17,-0.9465
2014-01-21,1.221
2014-01-22,1.7133
2014-01-23,0.5844
2014-01-24,-0.9057
2014-01-27,-1.6726999999999999
2014-01-28,3.4023
2014-01-29,1.5265
2014-01-30,-1.6539000000000001
2014-01-31,-0.2208
2014-02-03,-2.0599
2014-02-04,0.0869
2014-02-05,-1.3894
2014-02-06,0.4755
2014-02-07,-2.4013999999999998
2014-02-10,-0.467
2014-02-11,2.3638
2014-02-12,0.0353
2014-02-13,0.0705
2014-02-14,0.6163
2014-02-18,0.0
2014-02-19,2.1351
2014-02-20,-1.2337
2014-02-21,-0.8675
2014-02-24,1.9776
2014-02-25,0.5835
2014-02-26,-0.0512
2014-02-27,3.5678
2014-02-28,-0.5439
2014-03-03,-1.4087
