ticker,SSFT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-09-05,16.6667
2014-09-08,28.5714
2014-09-09,5.5556
2014-09-10,15.7895
2014-09-11,-13.6364
2014-09-12,10.526299999999999
2014-09-15,23.8095
2014-09-16,7.6923
2014-09-17,14.2857
2014-09-18,-23.125
2014-09-19,5.6911000000000005
2014-09-22,-11.538499999999999
2014-09-23,-20.9783
2014-09-24,10.0413
2014-09-25,9.0
2014-09-26,-8.2569
2014-09-29,9.0
2014-09-30,-58.2569
2014-10-01,20.8791
2014-10-02,-23.6364
2014-10-03,19.0476
2014-10-06,0.0
2014-10-07,-5.0
2014-10-08,-15.7895
2014-10-09,-36.7187
2014-10-10,18.5185
2014-10-13,3.3333
2014-10-14,3.2258
2014-10-15,-6.25
2014-10-16,-6.6667
2014-10-17,-7.1429
2014-10-20,3.8462
2014-10-21,18.5185
2014-10-22,-15.2344
2014-10-23,14.2857
2014-10-24,-6.4516
2014-10-27,-10.3448
2014-10-28,8.8942
2014-10-29,-9.2715
2014-10-30,0.0
2014-11-03,-6.5693
2014-11-04,12.5
2014-11-05,-22.2222
2014-11-06,14.2857
2014-11-07,0.0
2014-11-10,-16.6667
2014-11-11,7.5
2014-11-12,-13.9535
2014-11-13,35.1351
2014-11-14,0.0
2014-11-17,0.0
2014-11-18,2.0
2014-11-19,49.0196
2014-11-20,-2.6316
2014-11-21,7.6014
2014-11-24,-5.8085
2014-11-25,-44.0
2014-11-26,4.7619
2014-11-28,-9.0909
2014-12-01,23.125
2014-12-02,-16.7513
2014-12-03,-2.439
2014-12-04,4.375
2014-12-05,-4.1916
2014-12-08,0.0
2014-12-09,-8.125
2014-12-12,0.6803
2014-12-17,0.0
2014-12-18,0.0
2014-12-19,-4.3919
2014-12-22,-3.1802
2014-12-23,-12.4088
2014-12-26,25.4167
2014-12-30,0.9967
2014-12-31,-1.6447
2015-01-05,-51.8395
2015-01-06,-16.6667
2015-01-07,86.6667
2015-01-09,-21.4286
2015-01-15,0.0
2015-01-16,52.8409
2015-01-20,-40.5204
2015-01-21,60.0
2015-01-22,-37.5
2015-01-28,20.0
2015-01-29,25.0
2015-01-30,0.0
2015-02-02,0.0
2015-02-03,0.0
2015-02-06,-18.75
2015-02-09,71.2821
2015-02-10,19.7605
2015-02-11,36.0
2015-02-12,0.0
2015-02-13,-11.7647
2015-02-17,-6.6667
2015-02-18,25.0
2015-02-19,-2.8571
2015-02-20,-5.5147
2015-02-24,8.3658
2015-02-25,-0.7181
