ticker,CRWD US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-12,70.5882
2019-06-13,16.4828
2019-06-14,-5.0326
2019-06-17,9.1178
2019-06-18,9.2701
2019-06-19,0.9412
2019-06-20,-3.0692
2019-06-21,-3.5003
2019-06-24,-5.8978
2019-06-25,-9.4895
2019-06-26,1.8368
2019-06-27,1.0056
2019-06-28,7.9172
2019-07-01,-7.4535
2019-07-02,2.0886
2019-07-03,4.2157
2019-07-05,-0.0446
2019-07-08,-0.4464
2019-07-09,2.3016
2019-07-10,8.604800000000001
2019-07-11,-4.6543
2019-07-12,3.6964
2019-07-15,-2.585
2019-07-16,-2.8771
2019-07-17,2.0995
2019-07-18,2.4648
2019-07-19,14.8041
2019-07-22,4.9808
2019-07-23,-1.0721
2019-07-24,0.8301
2019-07-25,5.5111
2019-07-26,0.6502
2019-07-29,-6.0831
2019-07-30,7.7611
2019-07-31,-5.2447
2019-08-01,2.7619
2019-08-02,-3.8457
2019-08-05,-2.8747
2019-08-06,-0.2808
2019-08-07,-1.1966
2019-08-08,8.8221
2019-08-09,3.5461
2019-08-12,-1.9916
2019-08-13,7.139
2019-08-14,-5.6498
2019-08-15,-0.3829
2019-08-16,2.5518
2019-08-19,3.4774
2019-08-20,-0.2314
2019-08-21,-2.6019
2019-08-22,-3.7378
2019-08-23,-4.8833
2019-08-26,0.5089
2019-08-27,-5.4005
2019-08-28,3.461
2019-08-29,-3.6441
2019-08-30,-3.0303
2019-09-03,3.0512
2019-09-04,1.8505
2019-09-05,1.8052000000000001
2019-09-06,-12.5158
2019-09-09,-11.6873
2019-09-10,6.7809
2019-09-11,-3.545
2019-09-12,0.7958
2019-09-13,-6.8906
2019-09-16,4.6253
2019-09-17,4.6861
2019-09-18,-0.2675
2019-09-19,-2.71
2019-09-20,-2.8435
2019-09-23,-0.0896
2019-09-24,-6.5611
2019-09-25,-0.7997
2019-09-26,-5.9981
2019-09-27,-8.3019
2019-09-30,9.0722
2019-10-01,-0.7203
2019-10-02,-2.1765
2019-10-03,9.729800000000001
2019-10-04,2.7358000000000002
2019-10-07,7.7381
2019-10-08,-5.0596
2019-10-09,-3.3997
2019-10-10,-2.6474
2019-10-11,-1.8564
2019-10-14,-9.5404
2019-10-15,1.2656
2019-10-16,-5.7598
2019-10-17,-3.0559
2019-10-18,-6.7407
2019-10-21,0.7653
2019-10-22,-2.5316
2019-10-23,3.6147
2019-10-24,8.2933
2019-10-25,-3.3372
2019-10-28,-4.3105
2019-10-29,-0.3128
