ticker,CPLG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-01,-1.2908
2018-06-04,-1.9252
2018-06-05,-0.6667
2018-06-06,-0.5966
2018-06-07,-2.2506
2018-06-08,-0.4221
2018-06-11,1.079
2018-06-12,-0.915
2018-06-13,-0.6541
2018-06-14,1.433
2018-06-15,-1.1455
2018-06-18,-1.5064
2018-06-19,0.7843
2018-06-20,1.7121
2018-06-21,0.7269
2018-06-22,1.2153
2018-06-25,-1.576
2018-06-26,-0.0762
2018-06-27,-0.992
2018-06-28,-0.1541
2018-06-29,-0.0386
2018-07-02,-1.6987999999999999
2018-07-03,1.139
2018-07-05,1.9417
2018-07-06,0.9524
2018-07-09,0.3396
2018-07-10,-1.0154
2018-07-11,-0.8359
2018-07-12,0.7663
2018-07-13,-0.1141
2018-07-16,-0.9517
2018-07-17,-1.1145
2018-07-18,-1.166
2018-07-19,0.9438
2018-07-20,0.1169
2018-07-23,0.7393
2018-07-24,-0.7339
2018-07-25,-0.1946
2018-07-26,0.078
2018-07-27,-1.9478
2018-07-30,-0.6754
2018-07-31,1.04
2018-08-01,0.9501
2018-08-02,0.0392
2018-08-03,-0.5096
2018-08-06,-0.0394
2018-08-07,-1.419
2018-08-08,1.1595
2018-08-09,0.1581
2018-08-10,-0.7103
2018-08-13,0.2385
2018-08-14,-9.0404
2018-08-15,-5.9285
2018-08-16,2.0853
2018-08-17,2.0427
2018-08-20,-2.1352
2018-08-21,-0.4545
2018-08-22,-0.1826
2018-08-23,-2.8362
2018-08-24,-1.8832
2018-08-27,-1.0077
2018-08-28,-0.0969
2018-08-29,3.0422
2018-08-30,-1.1337
2018-08-31,-0.3822
2018-09-04,-1.3909
2018-09-05,1.3132
2018-09-06,-0.192
2018-09-07,-0.1924
2018-09-10,-1.5422
2018-09-11,-0.8321
2018-09-12,-0.0987
2018-09-13,1.2352
2018-09-14,0.1952
2018-09-17,-1.9971
2018-09-18,0.0497
2018-09-19,0.3974
2018-09-20,-0.3464
2018-09-21,0.3972
2018-09-24,-1.3353
2018-09-25,0.2005
2018-09-26,-1.8009
2018-09-27,-1.0698
2018-09-28,1.1843
2018-10-01,-0.5141
2018-10-02,-1.8605
2018-10-03,0.4739
2018-10-04,-1.4675
2018-10-05,-0.6383
2018-10-08,-0.803
2018-10-09,-0.6476
2018-10-10,-2.4443
2018-10-11,-1.7261
2018-10-12,-0.5099
2018-10-15,-3.1321
2018-10-16,2.8807
2018-10-17,-0.5714
2018-10-18,-2.931
