ticker,SNDL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-08-01,-34.7692
2019-08-02,23.2311
2019-08-05,11.9617
2019-08-06,11.1111
2019-08-07,-1.1538
2019-08-08,-4.2802
2019-08-09,-6.5041
2019-08-12,-9.2174
2019-08-13,-0.4789
2019-08-14,6.641
2019-08-15,0.0
2019-08-16,-4.8736
2019-08-19,-0.8539
2019-08-20,-4.3062000000000005
2019-08-21,0.1
2019-08-22,-3.8961
2019-08-23,0.2079
2019-08-26,-1.1411
2019-08-27,-6.086
2019-08-28,-2.2346
2019-08-29,-10.1714
2019-08-30,1.2723
2019-09-03,3.1407
2019-09-04,-4.3849
2019-09-05,2.293
2019-09-06,-4.1096
2019-09-09,0.1299
2019-09-10,4.0208
2019-09-11,8.1047
2019-09-12,-0.2307
2019-09-13,1.1561
2019-09-16,0.4571
2019-09-17,-0.2275
2019-09-18,-2.8506
2019-09-19,-11.9718
2019-09-20,-5.7333
2019-09-23,-5.2334
2019-09-24,-7.6119
2019-09-25,-9.37
2019-09-26,-20.6774
2019-09-27,-7.6404
2019-09-30,16.6667
2019-10-01,1.7727
2019-10-02,-4.5082
2019-10-03,6.6524
2019-10-04,-6.0362
2019-10-07,-3.212
2019-10-08,-2.6549
2019-10-09,18.6364
2019-10-10,-13.0268
2019-10-11,-1.7621
2019-10-14,-1.1211
2019-10-15,1.5873
2019-10-16,-8.482099999999999
2019-10-17,2.439
2019-10-18,-2.3810000000000002
2019-10-21,-4.6341
2019-10-22,-2.3018
2019-10-23,6.8063
2019-10-24,-4.4118
2019-10-25,1.0256
2019-10-28,-3.5533
2019-10-29,-7.1053
2019-10-30,-4.5326
2019-10-31,-3.5608
2019-11-01,-1.8462
2019-11-04,-6.8966
2019-11-05,-1.3468
2019-11-06,9.5563
2019-11-07,9.3458
2019-11-08,8.2621
2019-11-11,2.1053
2019-11-12,-1.8041
2019-11-13,-5.2493
2019-11-14,-9.6953
2019-11-15,-3.9877000000000002
2019-11-18,-10.2236
2019-11-19,2.4911
2019-11-20,-3.4722
2019-11-21,15.8273
2019-11-22,-7.4534
2019-11-25,-8.0537
2019-11-26,-3.2847
2019-11-27,-3.7736
2019-11-29,-5.098
2019-12-02,-2.0661
2019-12-03,-2.9536
2019-12-04,-6.087
2019-12-05,-3.2407
2019-12-06,-6.6986
2019-12-09,17.4359
2019-12-10,-9.1703
2019-12-11,7.2115
2019-12-12,8.9686
2019-12-13,3.7037
2019-12-16,0.3968
2019-12-17,0.7905
