ticker,CVHL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-28,3.4483
2006-09-29,1.6667
2006-10-02,-0.7213
2006-10-03,-0.1982
2006-10-04,-1.456
2006-10-05,-0.6044
2006-10-06,0.6757
2006-10-09,0.4698
2006-10-10,0.4008
2006-10-11,1.7964
2006-10-12,-0.1307
2006-10-13,0.1309
2006-10-16,0.0
2006-10-17,-0.2614
2006-10-18,-0.2621
2006-10-19,1.1827
2006-10-20,0.8442
2006-10-23,0.1288
2006-10-24,0.6431
2006-10-25,0.0
2006-10-26,0.9585
2006-10-27,-0.8861
2006-10-30,-1.0217
2006-10-31,-1.0323
2006-11-01,1.043
2006-11-02,-0.7742
2006-11-03,-0.065
2006-11-06,0.0651
2006-11-07,0.7152
2006-11-08,0.5165
2006-11-09,0.6423
2006-11-10,0.3829
2006-11-13,0.1907
2006-11-14,1.0787
2006-11-15,-0.1883
2006-11-16,-1.8868
2006-11-17,0.1282
2006-11-20,0.128
2006-11-21,-0.7033
2006-11-22,2.3181
2006-11-24,1.0069
2006-11-27,-0.2492
2006-11-28,0.5621
2006-11-29,1.4285999999999999
2006-11-30,-1.1023
2006-12-01,-0.3715
2006-12-04,0.0
2006-12-05,-0.6215
2006-12-06,-1.1882
2006-12-07,2.0886
2006-12-08,2.2939
2006-12-11,0.4242
2006-12-12,-0.6639
2006-12-13,4.9818
2006-12-14,3.588
2006-12-15,0.1117
2006-12-18,-3.4598
2006-12-19,-1.3873
2006-12-20,0.8206
2006-12-21,-3.0233
2006-12-22,-0.8393
2006-12-26,0.1814
2006-12-27,0.1207
2006-12-28,-2.5
2006-12-29,-1.7511
2007-01-03,0.8275
2007-01-04,0.5682
2007-01-05,0.1255
2007-01-08,-1.1912
2007-01-09,-0.4442
2007-01-10,0.5736
2007-01-11,1.0773
2007-01-12,-0.0627
2007-01-16,0.4391
2007-01-17,-0.3748
2007-01-18,-0.627
2007-01-19,0.3155
2007-01-22,0.9434
2007-01-23,1.1215
2007-01-24,3.0191
2007-01-25,0.8373
2007-01-26,-1.2456
2007-01-29,-0.5405
2007-01-30,-0.3019
2007-01-31,0.0606
2007-02-01,1.9976
2007-02-02,-0.1187
2007-02-05,-0.9507
2007-02-06,-1.0198
2007-02-07,-0.1212
2007-02-08,0.1214
2007-02-09,-1.2121
2007-02-12,-0.3681
2007-02-13,-0.8621
2007-02-14,0.559
2007-02-15,0.0618
2007-02-16,0.4321
2007-02-20,-0.4302
2007-02-21,-0.0617
2007-02-22,0.0618
