ticker,ESINQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.0243
2000-01-04,-5.3719
2000-01-05,-9.1703
2000-01-06,0.9615
2000-01-07,2.8571
2000-01-10,0.9259
2000-01-11,1.8349
2000-01-12,-0.9009
2000-01-13,0.4545
2000-01-14,0.4525
2000-01-18,-2.7027
2000-01-19,6.0185
2000-01-20,16.1572
2000-01-21,-7.8947
2000-01-24,-12.6531
2000-01-25,2.8037
2000-01-26,0.9091
2000-01-27,-0.9009
2000-01-28,-3.1818
2000-01-31,0.0
2000-02-01,-1.4085
2000-02-02,0.0
2000-02-03,7.619
2000-02-04,6.1947
2000-02-07,-5.4167
2000-02-08,-0.8811
2000-02-09,0.4444
2000-02-10,-0.4425
2000-02-11,1.3333
2000-02-14,0.4386
2000-02-15,1.31
2000-02-16,-6.4655000000000005
2000-02-17,-2.3041
2000-02-18,-5.6604
2000-02-22,-4.0
2000-02-23,2.0833
2000-02-24,3.5714
2000-02-25,0.0
2000-02-28,0.4926
2000-02-29,-5.8824
2000-03-01,4.1667
2000-03-02,8.0
2000-03-03,8.3333
2000-03-06,-2.9915000000000003
2000-03-07,-5.7269
2000-03-08,6.5421
2000-03-09,6.1404
2000-03-10,-3.719
2000-03-13,2.1459
2000-03-14,-1.6806999999999999
2000-03-15,-1.2821
2000-03-16,2.5974
2000-03-17,3.3755
2000-03-20,6.9388
2000-03-21,-8.0153
2000-03-22,7.4689
2000-03-23,10.0386
2000-03-24,6.6667
2000-03-27,-6.25
2000-03-28,-3.8596
2000-03-29,-0.365
2000-03-30,-0.3663
2000-03-31,-5.8824
2000-04-03,-1.1719
2000-04-04,3.1621
2000-04-05,3.4483
2000-04-06,17.037
2000-04-07,1.8987
2000-04-10,1.8634
2000-04-11,-1.2195
2000-04-12,8.642
2000-04-13,-4.8295
2000-04-14,-4.4776
2000-04-17,-20.3125
2000-04-18,0.7843
2000-04-19,8.1712
2000-04-20,2.1583
2000-04-24,-4.2254
2000-04-25,2.9412000000000003
2000-04-26,-1.4285999999999999
2000-04-27,0.7246
2000-04-28,2.8777
2000-05-01,0.0
2000-05-02,-4.5455
2000-05-03,-1.0989
2000-05-04,2.963
2000-05-05,2.8777
2000-05-08,-2.4476
2000-05-09,-2.8674
2000-05-10,-0.738
2000-05-11,-1.487
2000-05-12,2.2641999999999998
2000-05-15,-1.107
2000-05-16,0.3731
2000-05-17,0.3717
2000-05-18,0.7407
2000-05-19,0.0
2000-05-22,-0.7353
2000-05-23,0.7407
