ticker,XALL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-02-27,-20.0
2018-03-12,150.0
2018-04-03,-32.0
2018-04-04,-2.9412000000000003
2018-04-05,-73.3394
2018-04-06,-4.5238
2018-04-09,4.7619
2018-04-10,0.0
2018-04-11,6.8182
2018-04-12,18.0851
2018-04-13,16.2162
2018-04-16,-2.3411
2018-04-17,-9.5094
2018-04-18,-12.2807
2018-04-19,-34.3
2018-04-20,21.7656
2018-04-23,-17.5
2018-04-24,-6.3636
2018-04-25,-25.5663
2018-04-26,-8.6957
2018-04-27,42.8571
2018-04-30,-20.0
2018-05-01,4.1667
2018-05-02,0.0
2018-05-03,-27.96
2018-05-04,-0.0555
2018-05-07,-11.1111
2018-05-08,-21.875
2018-05-09,60.0
2018-05-10,10.0
2018-05-14,-15.9091
2018-05-15,-9.2973
2018-05-17,1.6091
2018-05-21,32.0235
2018-05-22,-28.9205
2018-05-23,-26.5625
2018-05-24,-6.383
2018-05-25,18.2727
2018-05-29,22.9823
2018-05-30,37.5
2018-05-31,-27.2727
2018-06-01,9.0625
2018-06-04,-2.5788
2018-06-05,-14.7059
2018-06-06,-6.2069
2018-06-07,1.1029
2018-06-08,-5.4545
2018-06-11,0.0
2018-06-12,-14.6154
2018-06-13,-0.9009
2018-06-14,9.0909
2018-06-15,0.0
2018-06-18,-8.3333
2018-06-19,-9.0909
2018-06-20,-2.3
2018-06-21,2.3541
2018-06-22,0.0
2018-06-25,-5.0
2018-06-26,0.0
2018-06-27,-2.6316
2018-06-28,-13.5135
2018-06-29,25.0
2018-07-02,-10.0
2018-07-03,0.0
2018-07-05,-3.3333
2018-07-06,-19.5402
2018-07-09,-8.5714
2018-07-10,9.375
2018-07-11,-17.1429
2018-07-12,1.8965999999999998
2018-07-13,5.6684
2018-07-16,8.8871
2018-07-17,-17.647100000000002
2018-07-18,-8.2321
2018-07-19,-6.0128
2018-07-20,-12.8364
2018-07-23,-9.7387
2018-07-24,-34.2105
2018-07-25,15.6
2018-07-26,5.5363
2018-07-27,-10.8197
2018-07-30,-18.6581
2018-07-31,-0.565
2018-08-01,-40.9091
2018-08-02,-4.6154
2018-08-03,-4.8387
2018-08-06,10.1695
2018-08-07,50.0
2018-08-08,-2.5641
2018-08-09,0.3947
2018-08-10,-21.363
2018-08-13,-13.4
2018-08-14,-7.6212
2018-08-15,-14.1667
2018-08-16,37.1359
2018-08-17,-15.0442
2018-08-20,0.0
2018-08-21,12.5
2018-08-22,7.4074
2018-08-23,-14.6552
