ticker,BNGO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-09-24,-5.784
2018-09-25,-4.1863
2018-09-26,3.5261
2018-09-27,26.2916
2018-09-28,-3.4788
2018-10-01,-4.0362
2018-10-02,-0.1518
2018-10-03,-4.8493
2018-10-04,-5.8678
2018-10-05,0.0878
2018-10-08,-4.4956
2018-10-09,6.2379999999999995
2018-10-10,-5.2594
2018-10-11,2.9657999999999998
2018-10-12,2.5923
2018-10-15,-5.9463
2018-10-16,3.1106
2018-10-17,3.1816
2018-10-18,-0.7194
2018-10-19,0.8696
2018-10-22,-5.6394
2018-10-23,-4.0731
2018-10-24,-0.7937
2018-10-25,4.0
2018-10-26,-1.8462
2018-10-29,6.5204
2018-10-31,-5.0912
2018-11-01,4.1349
2018-11-02,3.7712
2018-11-05,2.1578
2018-11-06,3.7862999999999998
2018-11-07,-2.6901
2018-11-08,-3.3541
2018-11-09,-1.4388
2018-11-12,1.7518
2018-11-13,-0.2869
2018-11-14,0.5755
2018-11-15,0.4292
2018-11-16,2.5641
2018-11-19,-2.6389
2018-11-20,-0.9986
2018-11-21,-2.0173
2018-11-26,-4.4118
2018-11-27,1.8462
2018-11-28,6.4955
2018-11-29,1.4184
2018-11-30,-2.2378
2018-12-03,0.0
2018-12-04,-2.7182
2018-12-06,-4.4118
2018-12-07,0.1523
2018-12-10,-0.1521
2018-12-11,-0.1538
2018-12-12,0.1541
2018-12-14,-0.7708
2018-12-17,4.8078
2018-12-18,1.9231
2018-12-19,-5.5152
2018-12-20,0.6144
2018-12-21,-21.8321
2018-12-24,-0.4883
2018-12-26,-1.8646
2018-12-27,0.0
2018-12-28,-2.0
2018-12-31,6.9388
2019-01-02,-0.7634
2019-01-04,-3.4615
2019-01-08,-5.3785
2019-01-09,2.1053
2019-01-11,-0.2062
2019-01-14,-7.0248
2019-01-15,-0.9333
2019-01-16,0.9421
2019-01-17,-2.2222
2019-01-18,1.7955
2019-01-22,-0.6475
2019-01-23,-0.4494
2019-01-24,-0.7472
2019-01-25,0.2979
2019-01-28,-2.4943
2019-01-29,-5.814
2019-01-30,0.2469
2019-01-31,0.9852
2019-02-01,-1.7073
2019-02-04,0.9926
2019-02-05,-6.3882
2019-02-06,11.2861
2019-02-07,3.7736
2019-02-08,-7.0455
2019-02-11,2.934
2019-02-12,-4.9905
2019-02-13,6.2527
2019-02-14,0.7059
2019-02-15,-3.0374
2019-02-19,2.4096
2019-02-20,-3.5294
2019-02-21,-1.9512
2019-02-22,-0.995
