ticker,PREC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-12,0.0
2015-06-01,-20.0
2015-06-04,25.0
2015-06-05,0.0
2015-06-17,-52.0
2015-07-06,108.3333
2015-07-13,-60.0
2015-07-23,20.0
2015-07-29,-16.6667
2015-07-31,100.0
2015-08-03,0.0
2015-08-13,-50.0
2015-10-13,440.0
2015-10-22,0.0
2015-10-27,-7.4074
2015-10-29,-40.0
2015-11-06,-16.6667
2015-11-09,-20.0
2015-11-24,0.0
2015-11-25,0.0
2015-12-03,-25.0
2015-12-28,-33.3333
2015-12-29,-40.0
2016-01-06,-31.6667
2016-01-13,-14.6341
2016-01-27,0.0
2016-01-29,-14.2857
2016-02-01,-16.6667
2016-02-02,20.0
2016-02-03,0.0
2016-02-23,3.3333
2016-02-26,-35.4839
2016-04-14,25.0
2016-04-20,20.0
2016-04-25,0.0
2016-05-10,0.0
2016-07-05,166.6667
2016-07-12,-50.0
2016-07-14,-25.0
2016-08-09,-33.3333
2016-08-18,25.0
2016-10-28,-20.0
2016-11-03,0.0
2016-11-04,0.0
2017-02-21,0.0
2017-02-23,0.0
2017-03-07,100.0
2017-03-23,-80.0
2017-03-28,80.4688
2017-03-30,-29.8701
2017-03-31,71.6049
2017-04-24,49.6403
2017-04-25,15.3846
2017-04-27,-28.3333
2017-05-02,0.0
2017-05-25,-6.9767
2017-06-01,-25.0
2017-06-13,0.0
2017-06-26,18.0
2017-07-12,41.2429
2017-07-26,-36.0
2017-10-02,115.625
2017-10-17,-56.5217
2018-03-13,6.6667
2018-05-09,-31.25
2018-06-19,9.0909
2018-07-17,-8.3333
2018-12-12,0.0
2019-04-24,-9.0909
2019-08-22,0.0
2019-09-05,-28.0
2019-09-10,316.6667
2019-09-11,-11.6667
2019-09-12,-46.7925
2019-09-13,39.0071
2019-09-19,2.551
2019-09-20,24.3781
2019-09-23,0.0
2019-10-01,6.0
2019-10-03,-45.4717
2019-10-11,3.8062
2019-10-15,0.0
2019-10-18,-7.3333
2019-11-08,7.9137
2019-11-15,60.0
2019-11-20,-4.1667
2019-11-21,-4.3478
2019-11-22,-4.5455
2019-11-25,28.5714
2019-11-26,-11.1111
2019-11-27,-37.5
2019-12-04,0.0
2019-12-27,0.0
2020-01-02,120.0
2020-01-03,0.0
2020-01-22,-51.2121
2020-02-04,0.0
2020-03-13,92.5466
2020-05-11,-48.3871
2020-05-12,148.75
2020-05-14,59.799
2020-05-18,0.0
2020-06-02,-51.2579
2020-06-08,0.0
2020-06-30,-45.1613
2020-07-01,0.0
