ticker,SNBR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,7.6923
2000-01-04,0.7143
2000-01-05,2.1277
2000-01-06,-2.7778
2000-01-07,1.4285999999999999
2000-01-10,-1.4085
2000-01-11,4.2857
2000-01-12,2.0548
2000-01-13,0.6711
2000-01-14,-1.3333
2000-01-18,0.0
2000-01-19,-1.3514
2000-01-20,0.0
2000-01-21,0.0
2000-01-24,0.0
2000-01-25,1.3699
2000-01-26,-1.3514
2000-01-27,0.0
2000-01-28,0.0
2000-01-31,1.3699
2000-02-01,-5.4054
2000-02-02,0.0
2000-02-03,0.0
2000-02-04,0.0
2000-02-07,5.7143
2000-02-08,1.3514
2000-02-09,2.6667
2000-02-10,2.5974
2000-02-11,0.0
2000-02-14,-0.6329
2000-02-15,-8.2803
2000-02-16,8.3333
2000-02-17,1.9231
2000-02-18,-11.9497
2000-02-22,2.8571
2000-02-23,0.0
2000-02-24,0.0
2000-02-25,0.0
2000-02-28,-2.7778
2000-02-29,25.7143
2000-03-01,4.5455
2000-03-02,-5.4348
2000-03-03,2.2989
2000-03-06,0.0
2000-03-07,-2.2472
2000-03-08,3.4483
2000-03-09,-1.1111
2000-03-10,3.3708
2000-03-13,13.0435
2000-03-14,-7.6923
2000-03-15,2.0833
2000-03-16,6.1224
2000-03-17,0.0
2000-03-20,-1.9231
2000-03-21,-9.8039
2000-03-22,1.087
2000-03-23,-5.3763
2000-03-24,-2.2727
2000-03-27,-5.814
2000-03-28,-5.5556
2000-03-29,5.8824
2000-03-30,-4.9383
2000-03-31,14.2857
2000-04-03,-9.0909
2000-04-04,-1.25
2000-04-05,1.2658
2000-04-06,0.0
2000-04-07,-4.375
2000-04-10,-0.6536
2000-04-11,-1.3158
2000-04-12,3.3333
2000-04-13,0.6452
2000-04-14,-6.4103
2000-04-17,1.3699
2000-04-18,-2.7027
2000-04-19,-2.7778
2000-04-20,-7.1429
2000-04-24,7.6923
2000-04-25,-0.7143
2000-04-26,-3.5971
2000-04-27,-8.9552
2000-04-28,13.9344
2000-05-01,-7.9137
2000-05-02,-3.125
2000-05-03,2.4194
2000-05-04,-5.5118
2000-05-05,-1.6667
2000-05-08,5.9322
2000-05-09,0.8
2000-05-10,-1.5873
2000-05-11,-0.8065
2000-05-12,-2.439
2000-05-15,0.0
2000-05-16,-1.6667
2000-05-17,1.6949
2000-05-18,-3.3333
2000-05-19,2.5862
2000-05-22,-0.8403
2000-05-23,-1.6949
2000-05-24,-6.8966
2000-05-25,14.8148
