ticker,ESQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-06-27,8.9286
2017-06-28,-0.6557
2017-06-29,-1.9142000000000001
2017-06-30,0.9421
2017-07-03,0.3333
2017-07-05,0.598
2017-07-06,-1.255
2017-07-07,0.301
2017-07-10,-0.967
2017-07-11,0.6061
2017-07-12,-0.2677
2017-07-13,0.3356
2017-07-14,-2.0067
2017-07-17,0.0696
2017-07-18,0.2715
2017-07-19,-0.3401
2017-07-20,0.0
2017-07-21,0.0
2017-07-24,0.0
2017-07-25,0.6143
2017-07-26,0.7463
2017-07-27,-1.6162
2017-07-28,1.9849
2017-07-31,-0.8389
2017-08-01,0.7783
2017-08-02,-0.6044
2017-08-03,0.1351
2017-08-04,1.2146
2017-08-07,0.0667
2017-08-08,0.9327
2017-08-09,0.198
2017-08-10,-0.0659
2017-08-11,5.8668
2017-08-14,-0.3736
2017-08-15,-2.9731
2017-08-16,1.9691999999999998
2017-08-17,1.1377
2017-08-18,-0.1462
2017-08-21,-0.5423
2017-08-22,-3.8994
2017-08-23,-0.7853
2017-08-24,0.2639
2017-08-25,-0.8224
2017-08-28,-1.1609
2017-08-29,-1.3423
2017-08-30,2.449
2017-08-31,-0.3984
2017-09-01,-1.6
2017-09-05,0.271
2017-09-06,0.9459
2017-09-07,0.9371
2017-09-08,0.2984
2017-09-11,-0.1653
2017-09-12,0.6623
2017-09-13,-1.3158
2017-09-14,1.3333
2017-09-15,-3.6184
2017-09-18,1.3652
2017-09-19,1.0101
2017-09-20,1.2
2017-09-21,0.1976
2017-09-22,-0.9862
2017-09-25,0.9296
2017-09-26,-0.0658
2017-09-27,0.9875
2017-09-28,4.3025
2017-09-29,0.5625
2017-10-02,-0.0622
2017-10-03,-0.4353
2017-10-04,0.5621
2017-10-05,-1.6149
2017-10-06,1.3258
2017-10-09,-0.6231
2017-10-10,0.627
2017-10-11,-0.9969
2017-10-12,-1.4475
2017-10-13,-0.3193
2017-10-16,-2.4984
2017-10-17,5.3219
2017-10-18,-0.1248
2017-10-19,-0.1249
2017-10-20,1.0006
2017-10-23,-0.9288
2017-10-24,-1.3125
2017-10-25,1.6465999999999998
2017-10-26,0.6231
2017-10-27,-0.3096
2017-10-30,0.9317
2017-10-31,2.8308
2017-11-01,-2.4536
2017-11-02,0.3681
2017-11-03,0.9169
2017-11-06,0.7268
2017-11-07,-0.4811
2017-11-08,2.5982
2017-11-09,-1.3545
2017-11-13,-1.4328
2017-11-14,1.9382000000000001
2017-11-15,-0.9507
