ticker,PSRU US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-11-16,-22.2222
2009-11-17,-9.5238
2009-11-18,-26.3158
2009-11-19,21.4286
2009-11-20,0.0
2009-11-23,-8.8235
2009-11-24,-3.2258
2009-11-25,-3.3333
2009-11-27,0.0
2009-11-30,-10.3448
2009-12-01,-11.4423
2009-12-02,-4.4517
2009-12-03,-18.1818
2009-12-04,5.5556
2009-12-07,-15.7895
2009-12-08,0.0
2009-12-09,-6.25
2009-12-10,20.0
2009-12-11,-5.5556
2009-12-14,-11.7647
2009-12-15,-6.6667
2009-12-16,7.1429
2009-12-17,0.0
2009-12-18,-6.6667
2009-12-21,-14.1071
2009-12-22,-8.5239
2009-12-23,-9.0909
2009-12-24,10.375
2009-12-28,-0.3398
2009-12-29,-4.5455
2009-12-30,4.7619
2009-12-31,18.1818
2010-01-04,76.9231
2010-01-05,-26.087
2010-01-06,0.0
2010-01-07,1.1764999999999999
2010-01-08,-9.8837
2010-01-11,-9.6774
2010-01-12,-12.857099999999999
2010-01-13,4.918
2010-01-14,9.375
2010-01-15,0.0
2010-01-19,-3.5714
2010-01-20,-3.7037
2010-01-21,4.6154
2010-01-22,-10.2941
2010-01-25,6.5574
2010-01-26,-4.6154
2010-01-27,-3.2258
2010-01-28,16.6667
2010-01-29,5.7143
2010-02-01,-5.4054
2010-02-02,-7.1429
2010-02-03,0.0
2010-02-04,-3.0769
2010-02-05,11.1111
2010-02-08,-7.1429
2010-02-09,-7.6923
2010-02-10,8.3333
2010-02-11,-6.1538
2010-02-12,-6.5574
2010-02-16,10.526299999999999
2010-02-17,-7.1429
2010-02-18,2.5641
2010-02-19,-5.0
2010-02-22,5.2632
2010-02-23,-8.3333
2010-02-24,-3.6364
2010-02-25,-1.8868
2010-02-26,15.3846
2010-03-01,-8.3333
2010-03-02,-5.4545
2010-03-03,-3.8462
2010-03-04,4.0
2010-03-05,1.9231
2010-03-08,-4.717
2010-03-09,-0.9901
2010-03-10,0.0
2010-03-11,0.0
2010-03-12,-8.0
2010-03-15,-13.0435
2010-03-16,0.0
2010-03-17,0.0
2010-03-18,25.0
2010-03-19,-4.0
2010-03-22,-11.4583
2010-03-23,8.2353
2010-03-24,-4.3478
2010-03-25,-4.2614
2010-03-26,-0.2967
2010-03-29,7.1429
2010-03-30,0.0
2010-03-31,11.1111
2010-04-01,-8.0
2010-04-05,-4.3478
2010-04-06,-1.8466
2010-04-07,27.3517
2010-04-08,3.8636
2010-04-09,-8.9716
