ticker,LEDS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-12-09,51.5294
2010-12-10,-1.9798
2010-12-13,-1.0693
2010-12-14,-2.442
2010-12-15,0.1231
2010-12-16,7.377
2010-12-17,-2.6718
2010-12-20,2.3529
2010-12-21,16.5517
2010-12-22,-5.3254
2010-12-23,2.4306
2010-12-27,-0.3051
2010-12-28,-0.102
2010-12-29,-1.838
2010-12-30,0.5895
2010-12-31,0.1379
2011-01-03,-4.475
2011-01-04,1.1171
2011-01-05,0.1069
2011-01-06,-0.3204
2011-01-07,-0.3929
2011-01-10,1.2908
2011-01-11,0.531
2011-01-12,0.8099
2011-01-13,-34.4743
2011-01-14,-5.5437
2011-01-18,1.0722
2011-01-19,5.0251
2011-01-20,1.0101
2011-01-21,-2.7895
2011-01-24,0.0541
2011-01-25,-3.6254999999999997
2011-01-26,0.7861
2011-01-27,1.8384
2011-01-28,-0.1094
2011-01-31,-0.9858
2011-02-01,-0.3595
2011-02-02,-0.9714
2011-02-03,0.5045
2011-02-04,0.0558
2011-02-07,-0.3344
2011-02-08,-0.0559
2011-02-09,-1.6228
2011-02-10,0.0569
2011-02-11,-0.8528
2011-02-14,0.1147
2011-02-15,-0.3436
2011-02-16,1.2069
2011-02-17,1.0789
2011-02-18,-1.1236
2011-02-22,-1.4205
2011-02-23,-8.0115
2011-02-24,-2.9449
2011-02-25,2.4532
2011-02-28,-1.3862999999999999
2011-03-01,-2.2364
2011-03-02,1.0784
2011-03-03,0.8083
2011-03-04,1.0904
2011-03-07,-2.0939
2011-03-08,-0.9721
2011-03-09,-0.9162
2011-03-10,3.1044
2011-03-11,3.1390000000000002
2011-03-14,2.4845
2011-03-15,-0.9091
2011-03-16,-0.9174
2011-03-17,-1.2963
2011-03-18,1.3133
2011-03-21,0.0617
2011-03-22,1.7273
2011-03-23,-2.6683
2011-03-24,-0.9346
2011-03-25,-2.8302
2011-03-28,-1.8123
2011-03-29,3.8233
2011-03-30,-2.9206
2011-03-31,2.0929
2011-04-01,-3.5234
2011-04-04,-3.9840999999999998
2011-04-05,-17.2891
2011-04-06,0.2508
2011-04-07,0.0834
2011-04-08,-0.1667
2011-04-11,-2.6711
2011-04-12,-2.1441
2011-04-13,-3.3304
2011-04-14,-1.3599
2011-04-15,-3.4926
2011-04-18,0.0
2011-04-19,-0.4286
2011-04-20,4.065
2011-04-21,-0.0919
2011-04-25,-2.0239
2011-04-26,5.3521
2011-04-27,0.2674
2011-04-28,1.0667
2011-04-29,0.0
