ticker,ASTC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-2.3256
2000-01-05,1.1905000000000001
2000-01-06,2.3529
2000-01-07,-1.1494
2000-01-10,2.3256
2000-01-11,10.2273
2000-01-12,-1.0309
2000-01-13,0.2604
2000-01-14,-3.3766
2000-01-18,1.0753
2000-01-19,-3.1915
2000-01-20,-5.4945
2000-01-21,0.0
2000-01-24,-4.6512
2000-01-25,0.0
2000-01-26,-2.439
2000-01-27,3.75
2000-01-28,-3.6145
2000-01-31,1.25
2000-02-01,-3.7037
2000-02-02,3.8462
2000-02-03,4.9383
2000-02-04,-3.5294
2000-02-07,-1.2195
2000-02-08,-0.9259
2000-02-09,-0.3115
2000-02-10,0.0
2000-02-11,-5.0
2000-02-14,0.0
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,5.2632
2000-02-18,-5.0
2000-02-22,5.2632
2000-02-23,-5.0
2000-02-24,5.2632
2000-02-25,-5.0
2000-02-28,-5.2632
2000-02-29,1.3889
2000-03-01,6.8493
2000-03-02,-2.5641
2000-03-03,2.6316
2000-03-06,-5.1282
2000-03-07,2.7027
2000-03-08,-3.9474
2000-03-09,2.7397
2000-03-10,4.0
2000-03-13,0.0
2000-03-14,-1.2821
2000-03-15,-0.6494
2000-03-16,1.9607999999999999
2000-03-17,1.2821
2000-03-20,0.0
2000-03-21,8.8608
2000-03-22,-9.3023
2000-03-23,7.6923
2000-03-24,-2.3810000000000002
2000-03-27,14.6341
2000-03-28,-6.6489
2000-03-29,0.2849
2000-03-30,-2.2727
2000-03-31,-10.4651
2000-04-03,3.8961
2000-04-04,0.0
2000-04-05,2.5
2000-04-06,-4.878
2000-04-07,5.1282
2000-04-10,7.3171
2000-04-11,0.0
2000-04-12,-4.5455
2000-04-13,4.7619
2000-04-14,-9.0909
2000-04-17,1.25
2000-04-18,0.0
2000-04-19,-1.2346
2000-04-20,-5.0
2000-04-24,0.0
2000-04-25,7.8947
2000-04-26,-2.439
2000-04-27,0.0
2000-04-28,2.5
2000-05-01,-1.2195
2000-05-02,-1.2346
2000-05-03,1.25
2000-05-04,-1.2346
2000-05-05,1.25
2000-05-08,-2.4691
2000-05-09,0.0
2000-05-10,-6.3291
2000-05-11,0.0
2000-05-12,2.7027
2000-05-15,-2.6316
2000-05-16,-2.7027
2000-05-17,5.5556
2000-05-18,-4.6053
2000-05-19,2.069
2000-05-22,-2.7027
2000-05-23,2.7778
2000-05-24,-4.0541
2000-05-25,7.0423
