ticker,ADAP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-05-06,-5.8824
2015-05-07,7.6875
2015-05-08,-0.2902
2015-05-11,-1.0477
2015-05-12,-0.7059
2015-05-13,0.3555
2015-05-14,-0.059
2015-05-15,-0.4725
2015-05-18,-1.4243000000000001
2015-05-19,-3.7929
2015-05-20,-4.8811
2015-05-21,-0.7895
2015-05-22,3.4483
2015-05-26,-2.3718
2015-05-27,2.5606999999999998
2015-05-28,-1.8566
2015-05-29,0.6523
2015-06-01,-3.9533
2015-06-02,-0.0675
2015-06-03,2.1607
2015-06-04,-0.1983
2015-06-05,1.5894
2015-06-08,4.9544
2015-06-09,2.0497
2015-06-10,3.6519
2015-06-11,2.2314
2015-06-12,10.7984
2015-06-15,2.6439
2015-06-16,6.6667
2015-06-17,-5.2083
2015-06-18,-0.3497
2015-06-19,-0.5013
2015-06-22,2.3174
2015-06-23,-3.0527
2015-06-24,-2.0823
2015-06-25,-7.2095
2015-06-26,3.4097
2015-06-29,-2.5946
2015-06-30,1.7203
2015-07-01,-4.2008
2015-07-02,2.4487
2015-07-06,-1.7231999999999998
2015-07-07,-1.3009
2015-07-08,-7.7364
2015-07-09,0.8075
2015-07-10,-3.512
2015-07-13,2.2989
2015-07-14,6.4919
2015-07-15,1.8171
2015-07-16,10.3627
2015-07-17,5.5816
2015-07-20,-7.4111
2015-07-21,3.3084
2015-07-22,-8.7293
2015-07-23,-6.1121
2015-07-24,-4.7016
2015-07-27,-6.3251
2015-07-28,3.3086
2015-07-29,6.2745
2015-07-30,-7.1341
2015-07-31,-0.3311
2015-08-03,-0.5316
2015-08-04,-4.2752
2015-08-05,3.4194
2015-08-06,0.7422
2015-08-07,-8.3054
2015-08-10,0.2922
2015-08-11,-1.8937
2015-08-12,3.8604000000000003
2015-08-13,2.2159
2015-08-14,0.4196
2015-08-17,8.1476
2015-08-18,-0.4507
2015-08-19,-4.5278
2015-08-20,0.0678
2015-08-21,-15.1659
2015-08-24,-11.4126
2015-08-25,3.1532
2015-08-26,0.0
2015-08-27,-1.4847000000000001
2015-08-28,3.3688000000000002
2015-08-31,-6.0034
2015-09-01,3.1022
2015-09-02,2.2124
2015-09-03,-2.1645
2015-09-04,-1.5044
2015-09-08,0.7188
2015-09-09,0.2676
2015-09-10,0.6228
2015-09-11,0.1768
2015-09-14,3.0009
2015-09-15,8.3976
2015-09-16,0.0
2015-09-17,3.1621
2015-09-18,-3.6782
2015-09-21,-6.3644
2015-09-22,-0.5947
