ticker,NBRV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-09-18,29.1707
2015-09-21,-4.6828
2015-09-22,-14.3423
2015-09-23,-0.185
2015-09-24,-10.38
2015-09-25,0.6205
2015-09-28,0.4111
2015-09-29,-4.8106
2015-09-30,2.1505
2015-10-01,-2.8421
2015-10-02,-2.3835
2015-10-05,8.2131
2015-10-06,5.3333
2015-10-07,0.0
2015-10-08,-4.8199
2015-10-09,0.8696
2015-10-12,1.4199
2015-10-13,0.6
2015-10-14,1.7893
2015-10-15,-2.3438
2015-10-16,2.4
2015-10-19,-3.125
2015-10-20,3.125
2015-10-21,-1.8573
2015-10-22,-5.0797
2015-10-23,0.4197
2015-10-26,3.1348
2015-10-27,-0.4053
2015-10-28,3.2553
2015-10-29,-1.8719000000000001
2015-10-30,-0.1004
2015-11-02,1.3731
2015-11-03,-0.5614
2015-11-04,-0.2991
2015-11-05,0.0
2015-11-06,0.1
2015-11-09,0.3497
2015-11-10,0.6471
2015-11-11,-1.1869
2015-11-12,-4.7047
2015-11-13,1.6806999999999999
2015-11-16,-0.3099
2015-11-17,2.2798
2015-11-18,0.5066
2015-11-19,0.6048
2015-11-20,3.6071999999999997
2015-11-23,-1.0638
2015-11-24,-0.2444
2015-11-25,-1.9108
2015-11-27,0.4995
2015-11-30,1.3121
2015-12-01,-2.5694
2015-12-02,2.8184
2015-12-03,0.2828
2015-12-04,-0.0867
2015-12-07,-5.4741
2015-12-08,3.4126
2015-12-09,-3.3
2015-12-10,-1.758
2015-12-11,-3.4737
2015-12-14,-0.4362
2015-12-15,-0.9858
2015-12-16,-2.323
2015-12-17,-1.9253
2015-12-18,1.8476
2015-12-21,4.195
2015-12-22,-0.3264
2015-12-23,0.2183
2015-12-24,0.8715
2015-12-28,-2.1598
2015-12-29,1.9316
2015-12-30,-2.4905
2015-12-31,6.8295
2016-01-04,-1.0915
2016-01-05,-2.3647
2016-01-06,-2.1529
2016-01-07,-0.867
2016-01-08,2.9831
2016-01-11,0.7543
2016-01-12,-2.5667999999999997
2016-01-13,-12.9528
2016-01-14,-0.8827
2016-01-15,-5.8524
2016-01-19,-1.4865
2016-01-20,-0.5487
2016-01-21,-1.3793
2016-01-22,9.0909
2016-01-25,-6.1538
2016-01-26,-6.694
2016-01-27,0.2196
2016-01-28,21.2564
2016-01-29,2.0482
2016-02-01,-1.1806
2016-02-02,-0.7168
2016-02-03,-2.4067
2016-02-04,2.3428
2016-02-05,0.4819
2016-02-08,-1.0791
