ticker,CNO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-09-11,8.75
2003-09-12,-6.7126
2003-09-15,-0.7886
2003-09-16,-7.8987
2003-09-17,4.2611
2003-09-18,-0.8277
2003-09-19,-0.1043
2003-09-22,-2.3499
2003-09-23,4.0107
2003-09-24,-2.982
2003-09-25,0.159
2003-09-26,-1.3228
2003-09-29,-1.3941
2003-09-30,-1.7945
2003-10-01,5.7586
2003-10-02,6.1257
2003-10-03,0.6413
2003-10-06,-3.8235
2003-10-07,-1.631
2003-10-08,1.1399
2003-10-09,1.6905999999999999
2003-10-10,1.7128
2003-10-13,-0.5944
2003-10-14,2.5411
2003-10-15,0.2915
2003-10-16,-1.5019
2003-10-17,-3.0989
2003-10-20,-0.7614
2003-10-21,1.8925999999999998
2003-10-22,-0.8032
2003-10-23,-1.9231
2003-10-24,0.1032
2003-10-27,1.9072
2003-10-28,2.1244
2003-10-29,-0.9411
2003-10-30,-0.25
2003-10-31,2.2556
2003-11-03,-1.1764999999999999
2003-11-04,-0.0496
2003-11-05,-0.4467
2003-11-06,-0.5982
2003-11-07,0.2006
2003-11-10,-2.6527
2003-11-11,0.5141
2003-11-12,-0.1535
2003-11-13,-2.6639
2003-11-14,-1.0526
2003-11-17,0.1596
2003-11-18,2.1243
2003-11-19,3.2241
2003-11-20,-1.2594
2003-11-21,-0.8163
2003-11-24,-2.572
2003-11-25,0.7392
2003-11-26,1.1006
2003-11-28,0.2074
2003-12-01,1.9659
2003-12-02,5.1243
2003-12-03,-0.0965
2003-12-04,0.0483
2003-12-05,-0.5311
2003-12-08,-1.0194
2003-12-09,1.6675
2003-12-10,1.7366000000000001
2003-12-11,-1.6120999999999999
2003-12-12,-0.1446
2003-12-15,-1.7856999999999998
2003-12-16,0.9828
2003-12-17,-0.7299
2003-12-18,3.5294
2003-12-19,-2.8409
2003-12-22,1.2671000000000001
2003-12-23,1.7324000000000002
2003-12-24,-0.3784
2003-12-26,0.8547
2003-12-29,2.919
2003-12-30,0.4117
2003-12-31,-0.6834
2004-01-02,-0.4128
2004-01-05,-0.5067
2004-01-06,-2.4074
2004-01-07,0.3321
2004-01-08,1.4184
2004-01-09,0.373
2004-01-12,1.3934
2004-01-13,-0.3665
2004-01-14,0.9195
2004-01-15,1.139
2004-01-16,0.4505
2004-01-20,2.6009
2004-01-21,2.0542
2004-01-22,1.2848
2004-01-23,-0.9725
2004-01-26,0.6405
2004-01-27,-1.2728
2004-01-28,-1.4181
2004-01-29,-0.7847
