ticker,MNAT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-16,1.5385
2000-05-10,-0.7576
2000-05-11,3.0534
2000-05-18,-3.2593
2000-05-19,3.3691
2001-03-22,3.7037
2001-03-26,0.4286
2001-04-04,-0.4267
2001-04-26,2.1429
2002-03-20,12.5874
2002-03-21,-3.7267
2002-10-17,6.4516
2003-02-20,21.2121
2003-03-25,-14.0
2003-03-26,4.6512
2003-04-16,16.6667
2003-04-30,7.1429
2003-05-30,-11.0222
2003-06-30,0.0
2003-07-01,-0.1998
2003-08-13,25.1564
2003-11-11,-2.7
2003-11-21,23.3299
2003-12-04,-11.6667
2004-02-06,25.6039
2004-02-09,3.8462
2004-03-02,-3.7037
2004-03-31,-1.9231
2004-04-23,3.9215999999999998
2006-01-09,12.8
2006-01-13,2.8369
2006-01-30,-3.4483
2006-03-08,-1.7856999999999998
2006-03-15,3.6364
2006-05-05,-1.3216
2006-05-25,-1.7856999999999998
2006-09-01,5.9361
2006-10-11,-4.7619
2006-10-19,1.8182
2007-02-26,3.0137
2007-06-12,3.2947
2007-08-24,-8.2251
2007-09-04,0.0
2007-09-26,6.1611
2007-10-01,0.0
2007-10-02,1.7856999999999998
2007-10-11,1.7544
2007-11-15,0.0
2007-11-16,0.0
2007-11-19,0.0
2007-12-03,-3.4483
2007-12-11,5.3571
2008-01-02,-1.2987
2008-01-03,-4.5614
2008-01-09,40.0735
2008-01-25,-26.5092
2008-01-28,3.5714
2008-02-07,0.0
2008-03-10,-6.8966
2008-03-31,1.1111
2008-06-19,-55.6377
2008-06-27,66.6667
2008-07-24,36.5
2008-07-25,-24.9084
2008-12-23,-40.7407
2008-12-30,66.6667
2009-02-05,-37.5
2009-02-23,-19.2
2009-03-24,4.5817
2009-04-01,0.1905
2009-04-08,14.0684
2009-04-28,-12.5
2009-05-08,0.0
2009-05-15,0.0
2009-05-21,0.0
2009-06-18,14.2857
2009-07-06,-12.5
2009-07-07,0.0
2009-08-07,4.7619
2009-08-19,0.0
2009-09-01,0.0
2009-09-03,0.0
2009-09-10,0.0
2009-09-15,0.0
2009-09-29,0.0
2009-10-02,0.0
2009-10-12,0.0
2009-10-14,0.0
2009-10-23,22.7273
2009-10-27,-3.7037
2009-11-02,-3.8462
2009-11-03,4.0
2009-11-12,0.0
2009-12-15,-22.9231
2009-12-21,-0.2994
2009-12-29,10.1101
2009-12-31,-9.0891
2010-01-06,10.1978
2010-01-07,8.892900000000001
2010-01-19,0.0
2010-02-08,-16.6667
