ticker,CRCW US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-28,36.3636
2017-09-29,122.2222
2017-10-05,0.1
2017-10-18,-10.0899
2017-10-25,33.3333
2017-10-31,110.4167
2017-11-01,-0.9901
2017-11-02,56.0
2017-11-03,-17.9487
2017-11-07,15.625
2017-11-08,-16.2162
2017-11-09,-32.2581
2017-11-10,90.4762
2017-11-13,-20.0
2017-11-14,-37.5
2017-11-15,0.0
2017-11-16,10.0
2017-11-21,36.3636
2017-11-22,-3.3333
2017-11-24,-1.7586
2017-11-27,-1.7199
2017-11-28,-14.2857
2017-11-29,-8.3333
2017-11-30,-9.0909
2017-12-01,-10.0
2017-12-04,22.2222
2017-12-05,63.6364
2017-12-06,134.7222
2017-12-07,76.3314
2017-12-08,178.5235
2017-12-11,54.6988
2017-12-12,-65.2648
2017-12-13,40.8072
2017-12-14,61.8153
2017-12-15,0.7676
2017-12-18,12.3047
2018-01-05,-98.087
2018-01-08,1490.9091
2018-01-09,-0.5714
2018-01-24,-71.2644
2018-01-25,2.0
2018-02-02,-1.9607999999999999
2018-02-07,30.0
2018-03-01,-20.0
2018-03-15,0.0
2018-04-04,-61.3462
2018-05-09,111.4428
2018-06-14,3.5294
2018-10-24,-91.8182
2018-10-25,0.0
2018-11-01,11.1111
2018-12-20,150.0
2019-01-17,20.0
2019-04-04,-91.25
2019-07-09,5.7143
2019-12-20,-54.955
2020-04-15,100.0
2020-04-16,25.0
2020-05-21,60.0
2020-05-29,12.5
2020-06-11,4.4444
2020-06-16,-46.8085
2020-06-17,85.6
