ticker,PQG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-29,-1.4285999999999999
2017-10-02,-0.2899
2017-10-03,0.1163
2017-10-04,0.6388
2017-10-05,-0.1731
2017-10-06,0.0
2017-10-09,0.8671
2017-10-10,-0.8596
2017-10-11,0.5202
2017-10-12,-0.1725
2017-10-13,0.1728
2017-10-16,-0.8051
2017-10-17,-0.2899
2017-10-18,-1.1628
2017-10-19,0.2353
2017-10-20,-0.9977
2017-10-23,-1.1855
2017-10-24,-0.4199
2017-10-25,-1.2048
2017-10-26,3.1707
2017-10-27,0.2364
2017-10-30,-0.4717
2017-10-31,-2.8436
2017-11-01,0.4878
2017-11-02,-3.1553
2017-11-03,-0.7519
2017-11-06,-1.2626
2017-11-07,0.3836
2017-11-08,2.6115
2017-11-09,-1.7381
2017-11-10,-1.6425
2017-11-13,-0.3854
2017-11-14,1.6763
2017-11-15,-0.9512
2017-11-16,-1.4085
2017-11-17,0.4545
2017-11-20,-3.2967
2017-11-21,1.5373999999999999
2017-11-22,0.8558
2017-11-24,0.2611
2017-11-27,0.8464
2017-11-28,0.0
2017-11-29,0.7101
2017-11-30,5.7692
2017-12-01,0.5455
2017-12-04,-0.0603
2017-12-05,0.0
2017-12-06,-2.2919
2017-12-07,0.1852
2017-12-08,1.1707
2017-12-11,0.4872
2017-12-12,-1.3939
2017-12-13,-1.1678
2017-12-14,0.6841
2017-12-15,0.7412
2017-12-18,1.1649
2017-12-19,0.7273
2017-12-20,0.0602
2017-12-21,-1.2628
2017-12-22,-0.3654
2017-12-26,-0.2445
2017-12-27,0.7966
2017-12-28,0.6079
2017-12-29,-0.6042
2018-01-02,0.7903
2018-01-03,-0.3619
2018-01-04,-0.4843
2018-01-05,-1.0949
2018-01-08,0.7995
2018-01-09,0.061
2018-01-10,0.4268
2018-01-11,1.1536
2018-01-12,1.3806
2018-01-16,-0.7697
2018-01-17,-0.9547
2018-01-18,0.1807
2018-01-19,0.1804
2018-01-22,-0.12
2018-01-23,1.7428
2018-01-24,0.5316
2018-01-25,-0.1175
2018-01-26,-0.0588
2018-01-29,-2.0012
2018-01-30,-1.1411
2018-01-31,-0.729
2018-02-01,-1.2852000000000001
2018-02-02,-4.4017
2018-02-05,-3.9558999999999997
2018-02-06,1.0804
2018-02-07,-1.4696
2018-02-08,-3.9322
2018-02-09,1.9054
2018-02-12,1.3158
2018-02-13,-1.0253
2018-02-14,-0.0691
2018-02-15,-0.3455
2018-02-16,0.0
2018-02-20,-0.7628
