ticker,SHDC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2002-03-06,0.0
2002-03-07,-20.3704
2002-03-08,20.9302
2002-03-11,-19.2308
2002-03-15,-3.8095
2002-03-18,-12.3762
2002-03-19,-54.8023
2002-03-26,87.5
2002-03-27,-2.0
2002-03-28,0.0
2002-04-01,-0.6803
2002-04-02,-0.6849
2002-04-03,0.0
2002-04-05,3.4483
2002-04-11,-33.3333
2002-04-12,0.0
2002-04-16,-2.0
2002-04-17,-18.3673
2002-04-18,0.0
2002-04-29,-12.5
2002-05-15,0.0
2002-05-28,-14.2857
2002-06-04,0.0
2002-06-21,-5.0
2002-07-01,0.0
2002-07-19,12.2807
2002-07-25,9.375
2002-08-06,6.2857
2002-08-07,-0.5376
2002-08-08,-1.3514
2002-08-19,13.9726
2002-08-20,-3.8462
2002-08-22,19.5
2002-08-27,47.0711
2002-08-28,-7.5391
2002-08-29,-3.5385
2002-09-03,-20.2552
2002-09-06,-10.0
2002-09-10,0.0
2002-09-16,-11.1111
2002-09-18,0.0
2002-09-23,0.0
2002-10-02,25.0
2002-10-03,-13.0
2002-10-07,-2.2989
2002-12-02,64.7059
2002-12-31,-35.7143
2003-01-07,0.0
2003-02-06,-11.1111
2003-02-07,-6.25
2003-02-10,-33.3333
2003-02-12,-20.0
2003-02-21,-37.5
2003-03-03,140.0
2003-03-05,-33.3333
2003-03-18,-49.5
2003-03-21,0.0
2003-03-24,0.0
2003-03-25,0.0
2003-03-28,0.0
2003-04-01,0.9901
2003-04-16,-21.5686
2003-04-22,-6.25
2003-04-23,0.0
2003-04-24,0.0
2003-04-25,0.0
2003-04-28,33.3333
2003-07-14,100.0
2003-09-11,45.0
2003-09-12,-12.069
2003-12-05,37.2549
2003-12-08,-27.1429
2004-02-23,-1.9607999999999999
2004-02-24,-20.0
2004-06-18,-35.0
2004-06-25,34.6154
2004-07-14,-8.5714
2004-07-15,-31.25
2004-08-05,263.6364
2004-08-30,-37.5
2004-09-03,-57.6
2005-04-08,0.9434
2005-07-27,30.8411
2005-07-28,0.0
2005-07-29,0.0
2005-11-02,23.5714
2006-12-08,-36.4162
2007-06-29,27.2727
2007-07-16,0.0
2008-08-12,7.1429
2008-12-10,6.6667
2010-04-08,9.375
2011-03-11,-14.2857
2011-04-20,0.0
2011-04-28,6.6667
2012-02-01,0.0
2012-08-10,0.0
2013-07-08,150.0
2013-08-12,25.0
2014-12-02,-58.0
2015-02-17,-4.756
2015-07-21,12.493
2015-12-14,-11.1111
2015-12-15,0.0
2016-08-25,50.0
2017-12-27,-33.3333
2018-09-04,50.0
2018-09-27,-26.6667
2019-02-07,-3.4091
2019-02-11,31.7647
2019-03-14,-7.1429
2019-07-10,-22.6923
2019-09-30,49.2537
2019-10-07,0.0
2019-10-21,-41.6667
2020-03-04,185.7143
2020-07-28,-79.0
