ticker,MBLV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-19,-11.4286
2006-09-20,29.0323
2006-09-21,21.875
2006-09-22,-13.8462
2006-09-25,42.8571
2006-09-26,16.6667
2006-09-27,12.857099999999999
2006-09-28,7.5949
2006-09-29,0.0
2006-10-02,2.3529
2006-10-03,4.5977
2006-10-04,0.0
2006-10-05,0.0
2006-10-06,5.4945
2006-10-09,-2.6042
2006-10-10,1.6042999999999998
2006-10-11,1.0526
2006-10-12,0.0
2006-10-13,0.0
2006-10-16,2.0833
2006-10-19,0.0
2006-10-25,0.0
2006-10-30,1.0204
2006-10-31,0.0
2006-11-01,0.0
2006-11-03,1.0101
2006-11-06,-2.0
2006-11-07,2.0408
2006-11-08,0.0
2006-11-09,-1.0
2006-11-14,1.0101
2006-11-15,1.0
2006-11-17,0.0
2006-11-20,0.0
2006-11-21,0.0
2006-12-07,-0.9901
2006-12-11,0.0
2006-12-12,0.0
2006-12-13,0.0
2006-12-15,0.0
2006-12-18,20.0
2006-12-19,15.0
2006-12-20,0.7246
2006-12-21,0.0
2006-12-22,-1.4388
2006-12-28,-18.9781
2007-01-05,17.1171
2007-01-08,-1.5385
2007-01-09,-0.7813
2007-01-12,-1.5748
2007-01-16,-8.0
2007-01-17,0.8696
2007-01-18,-3.4483
2007-01-19,1.7856999999999998
2007-01-22,-3.5088
2007-01-23,0.0
2007-01-24,4.5455
2007-01-25,-13.0435
2007-01-26,0.0
2007-01-29,-15.0
2007-01-30,7.0588
2007-02-06,-12.0879
2007-02-07,-6.25
2007-02-08,6.6667
2007-02-09,6.25
2007-02-12,0.0
2007-02-14,-4.7059
2007-02-15,-6.1728
2007-02-16,0.0
2007-02-20,1.3158
2007-02-21,-12.987
2007-02-22,4.4776
2007-02-23,-10.0
2007-02-27,-4.7619
2007-02-28,-3.3333
2007-03-01,-5.1724
2007-03-02,-7.2727
2007-03-06,17.647100000000002
2007-03-07,-35.0
2007-03-08,64.1026
2007-03-09,0.0
2007-03-12,-12.5
2007-03-13,7.1429
2007-03-14,-25.0
2007-03-15,-13.3333
2007-03-16,0.0
2007-03-19,-10.2564
2007-03-21,-28.5714
2007-03-22,-20.0
2007-03-23,95.0
2007-03-26,-10.2564
2007-03-27,0.0
2007-03-29,0.0
2007-03-30,14.2857
2007-04-02,0.0
2007-04-03,-2.5
2007-04-05,-23.0769
2007-04-11,26.6667
2007-04-19,-39.4737
2007-04-20,0.0
2007-04-23,56.5217
2007-04-24,-16.6667
