ticker,BIXT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-01-06,-4.0
2010-01-07,-37.5
2010-01-08,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-19,66.6667
2010-02-02,0.0
2010-02-11,0.0
2010-03-04,-40.0
2010-03-09,-13.3333
2010-03-15,0.0
2010-03-16,-30.7692
2010-03-23,-44.4444
2010-03-24,60.0
2010-03-25,0.0
2010-03-26,0.0
2010-03-29,0.0
2010-04-05,25.0
2010-04-08,-20.0
2010-04-23,25.0
2010-05-06,0.0
2010-05-10,0.0
2010-05-12,0.0
2010-05-14,100.0
2010-05-19,-15.0
2010-05-20,-11.7647
2010-05-25,26.6667
2010-05-27,31.5789
2010-05-28,44.0
2010-06-01,36.1111
2010-06-02,53.0612
2010-06-03,86.6667
2010-06-04,-28.5714
2010-06-07,5.0
2010-06-08,-14.2857
2010-06-09,-11.1111
2010-06-10,-33.75
2010-06-11,13.2075
2010-06-14,0.0
2010-06-15,48.3333
2010-06-16,1.1236
2010-06-18,0.0
2010-06-22,11.1111
2010-06-23,-48.0
2010-06-25,61.5385
2010-06-28,-3.5714
2010-06-30,-1.2346
2010-07-02,-18.75
2010-07-07,23.0769
2010-07-09,-6.25
2010-07-22,-13.3333
2010-07-28,-23.0769
2010-08-12,10.0
2010-08-13,18.1818
2010-08-16,7.6923
2010-08-18,0.0
2010-08-20,-21.4286
2010-09-01,-7.2727
2010-09-15,27.451
2010-09-16,7.6923
2010-09-17,-7.1429
2010-09-22,0.0
2010-09-24,-23.0769
2010-09-28,2.0
2010-09-29,-1.9607999999999999
2010-10-04,2.0
2010-10-05,7.8431
2010-10-07,0.0
2010-10-12,-61.8182
2010-10-18,42.8571
2010-10-19,43.3333
2010-10-21,4.6512
2010-10-25,-22.2222
2010-10-26,-14.2857
2010-10-27,10.0
2010-10-28,-9.0909
2010-11-01,0.0
2010-11-02,10.0
2010-11-03,-8.3333
2010-11-04,5.7851
2010-11-05,-9.375
2010-11-08,-6.8966
2010-11-09,0.0
2010-11-10,0.0
2010-11-12,0.0
2010-11-15,0.0
2010-11-16,11.1111
2010-11-17,-6.6667
2010-11-18,0.0
2010-11-19,-7.1429
2010-11-22,3.8462
2010-11-23,-18.5185
2010-11-29,-9.0909
2010-11-30,25.0
2010-12-01,-20.0
2010-12-02,0.0
2010-12-03,-5.0
2010-12-06,-5.2632
2010-12-07,11.1111
2010-12-08,-12.5
2010-12-09,-37.1429
2010-12-10,9.0909
2010-12-13,25.0
