ticker,CNET US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-06-29,65.0
2009-06-30,51.5152
2009-07-01,-30.0
2009-07-02,42.8571
2009-07-06,-11.2
2009-07-07,-9.9099
2009-07-08,10.0
2009-07-09,0.0
2009-07-10,-8.6364
2009-07-13,11.9403
2009-07-14,32.8889
2009-07-15,-33.1104
2009-07-16,10.0
2009-07-17,2.2727
2009-07-20,11.1111
2009-07-21,4.0
2009-07-22,-3.8462
2009-07-23,19.6
2009-07-27,-16.388
2009-07-28,-9.6
2009-07-29,10.6195
2009-07-30,0.0
2009-07-31,0.0
2009-08-03,0.0
2009-08-04,0.0
2009-08-06,15.6
2009-08-07,-4.8443000000000005
2009-08-11,0.0
2009-08-13,9.0909
2009-08-14,16.6667
2009-08-17,0.0
2009-08-18,0.0
2009-08-19,0.0
2009-08-20,2.8571
2009-08-21,1.3889
2009-08-24,-4.3836
2009-08-25,-8.3095
2009-08-26,9.0625
2009-08-27,-5.4441
2009-08-28,5.7576
2009-08-31,-5.4441
2009-09-01,3.0303
2009-09-02,-2.9412000000000003
2009-09-03,-1.5152
2009-09-04,0.0
2009-09-09,-1.5385
2009-09-10,1.5625
2009-09-11,1.5385
2009-09-14,-8.7879
2009-09-15,1.3289
2009-09-16,6.2295
2009-09-17,6.4815
2009-09-18,1.4493
2009-09-21,0.0
2009-09-22,20.0
2009-09-23,-1.1905000000000001
2009-09-24,1.2048
2009-09-25,2.3810000000000002
2009-09-28,0.0
2009-09-29,0.4651
2009-09-30,0.6944
2009-10-01,-3.4483
2009-10-02,-1.1905000000000001
2009-10-05,8.4337
2009-10-06,5.5556
2009-10-07,1.0526
2009-10-08,0.0
2009-10-09,-1.0417
2009-10-12,-5.2632
2009-10-13,-1.1111
2009-10-14,0.0
2009-10-15,0.0
2009-10-16,0.0
2009-10-19,1.1236
2009-10-20,-7.5556
2009-10-21,10.5769
2009-10-22,0.0
2009-10-23,0.0
2009-10-26,0.0
2009-10-27,2.1739
2009-10-28,-14.8936
2009-10-29,12.5
2009-10-30,0.0
2009-11-02,-4.4444
2009-11-03,-12.7907
2009-11-04,1.3333
2009-11-05,18.4211
2009-11-06,2.2222
2009-11-09,-2.1739
2009-11-10,0.0
2009-11-11,0.0
2009-11-12,0.0
2009-11-13,6.4444
2009-11-16,4.3841
2009-11-17,0.0
2009-11-18,0.0
2009-11-19,0.0
2009-11-20,-3.0
2009-11-23,-1.2371
2009-11-24,-6.0543
2009-11-25,0.0
2009-11-27,0.0
