ticker,ISLV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-22,75.0
2008-04-24,14.2857
2008-04-28,8.3333
2008-04-29,-7.6923
2008-04-30,4.1667
2008-05-01,0.0
2008-05-02,4.0
2008-05-09,-19.2308
2008-05-13,9.5238
2008-05-14,0.0
2008-05-16,0.0
2008-05-19,0.0
2008-05-27,0.0
2008-05-29,0.0
2008-05-30,-12.1739
2008-06-02,7.9084
2008-06-03,0.0115
2008-06-11,-44.9541
2008-06-12,71.6667
2008-06-13,-41.7476
2008-06-16,33.3333
2008-06-20,0.0
2008-06-30,-18.75
2008-07-09,7.6923
2008-07-11,14.2857
2008-07-14,-13.75
2008-07-18,-56.5217
2008-07-21,70.0
2008-07-23,-41.1765
2008-07-28,33.3333
2008-07-29,-50.0
2008-07-31,25.0
2008-08-06,60.0
2008-08-07,-25.0
2008-08-12,0.0
2008-08-13,4.9583
2008-08-20,7.9794
2008-09-09,8.8235
2008-09-11,13.5135
2008-09-15,-11.9048
2008-09-18,37.8378
2008-09-22,-70.5882
2008-10-02,0.0
2008-10-07,6.6667
2008-10-14,200.0
2008-10-16,-31.25
2008-12-18,-69.697
2009-01-05,410.0
2009-01-06,96.0784
2009-01-08,-50.0
2009-01-13,0.0
2009-01-14,0.0
2009-01-21,0.0
2009-01-27,-88.0
2009-02-03,83.3333
2009-02-10,263.6364
2009-03-09,0.0
2009-03-13,0.0
2009-03-24,-97.5
2009-04-06,3900.0
2009-11-05,-75.0
2009-11-06,900.0
2009-11-12,-97.0
2009-11-13,3233.3333
2009-11-19,-95.0
2010-01-08,300.0
2010-01-11,400.0
2010-01-26,-40.0
2010-01-27,-83.3333
2010-02-04,0.0
2010-03-04,0.0
2010-03-05,-20.0
2010-03-09,150.0
2010-03-10,-75.0
2010-03-11,200.0
2010-03-12,0.0
2010-03-15,0.0
2010-03-18,0.0
2010-03-19,0.0
2010-03-22,-60.0
2010-03-23,16.6667
2010-03-30,0.0
2010-03-31,0.0
2010-04-15,-26.4286
2010-04-19,60.1942
2010-04-20,142.4242
2010-04-21,0.0
2010-04-22,-58.75
2010-04-26,-15.1515
2010-04-27,0.0
2010-05-03,2.1429
2010-05-17,53.8462
2010-05-19,371.5341
2010-05-24,-95.1801
2010-05-27,4.0
2010-07-19,669.2308
2010-08-09,-86.5
2010-08-16,196.2963
2010-08-18,0.0
2010-08-20,0.0
2010-08-26,0.0
2010-09-16,62.5
2010-09-17,-61.5385
2010-09-24,120.0
2010-09-30,-9.0909
