ticker,FWAV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-08-09,0.0
2019-09-04,-26.6667
2019-09-10,-4.5455
2019-09-12,-3.8095
2019-09-19,0.5941
2019-10-08,-0.5906
2019-10-09,0.0
2019-10-10,0.0
2019-10-28,-5.9406
2019-11-01,-20.0
2019-11-04,2.6316
2019-11-05,3.8462
2019-11-11,-8.642
2020-01-03,1.3514
2020-01-06,-26.6667
2020-01-30,18.1818
2020-01-31,7.6923
2020-02-03,0.0
2020-02-04,-12.857099999999999
2020-02-05,0.0
2020-02-10,4.918
2020-02-11,-21.875
2020-02-12,-19.98
2020-02-13,12.4719
2020-02-14,-22.2222
2020-02-19,0.0
2020-02-24,0.0
2020-03-18,-57.1429
2020-03-25,-3.3333
2020-03-26,37.931
2020-03-27,-25.0
2020-03-31,-18.3333
2020-04-02,22.449
2020-04-07,33.3333
2020-04-09,15.0
2020-04-14,-15.2174
2020-04-16,28.2051
2020-04-21,100.0
2020-04-22,0.0
2020-04-24,-60.0
2020-04-27,-25.0
2020-04-29,33.2667
2020-04-30,-24.9625
2020-05-13,0.0
2020-05-19,33.2667
2020-05-27,0.05
2020-06-01,10.0
2020-06-04,0.0
2020-06-08,122.7273
2020-06-10,-8.1633
2020-06-12,8.8889
2020-06-19,-64.2857
2020-07-02,128.5143
2020-07-06,-2.4756
2020-07-08,-10.2821
2020-07-09,0.0
2020-07-13,14.3184
2020-07-14,-2.5
2020-07-15,2.5385
2020-07-16,27.5319
2020-07-17,-3.9215999999999998
2020-07-22,-38.7755
2020-07-23,0.0
2020-07-24,33.3333
2020-07-27,12.5
2020-07-28,-60.0
2020-07-29,122.2222
