ticker,SMAA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-25,-95.0
2000-08-14,0.0
2000-08-17,-87.5
2000-09-25,700.0
2000-11-16,1900.0
2000-11-20,-99.375
2000-11-27,0.0
2000-12-14,0.0
2000-12-18,0.0
2000-12-28,0.0
2000-12-29,0.0
2001-01-31,0.0
2001-04-05,0.0
2001-04-25,0.0
2001-04-30,0.0
2001-05-30,700.0
2001-07-06,-87.5
2001-07-20,0.0
2001-07-30,0.0
2001-08-02,0.0
2001-08-08,700.0
2001-09-20,-87.5
2001-10-01,0.0
2001-11-26,0.0
2001-12-20,0.0
2001-12-27,0.0
2002-02-21,700.0
2002-04-16,0.0
2002-04-17,-87.5
2002-06-20,0.0
2002-06-24,0.0
2002-07-23,0.0
2002-08-05,0.0
2002-08-09,300.0
2002-08-26,-75.0
2002-09-20,300.0
2002-11-26,-75.0
2002-12-03,0.0
2003-01-03,0.0
2003-06-24,0.0
2003-07-07,0.0
2004-02-06,0.0
2004-02-19,0.0
2004-03-08,700.0
2004-03-09,-87.5
2004-03-16,15900.0
2004-03-23,0.0
2004-03-30,0.0
2004-04-01,0.0
2004-04-23,350.0
2004-05-04,-44.4444
2004-05-10,-40.0
2004-06-08,0.0
2004-06-18,0.0
2004-07-26,0.0
2004-07-28,-50.0
2004-08-30,0.0
2004-09-03,-26.6667
2004-09-10,-98.8636
2004-10-19,15900.0
2004-11-04,0.0
2004-11-30,0.0
2004-12-08,-25.0
2004-12-09,0.0
2004-12-20,0.0
2005-02-23,-26.6667
2005-03-21,36.3636
2005-03-24,0.0
2005-04-21,33.3333
2005-06-01,50.0
2005-07-06,-33.3333
2005-07-07,0.0
2005-07-28,0.0
2005-08-05,0.0
2005-08-12,0.0
2005-11-17,0.0
2005-12-07,0.0
2005-12-27,0.0
2005-12-30,0.0
2006-01-30,0.0
2006-02-14,0.0
2006-03-20,0.0
2006-03-21,0.0
2006-03-22,-50.0
2006-03-23,0.0
2006-06-07,0.0
2006-07-05,0.0
2006-08-10,200.0
2006-08-21,-66.6667
2006-10-11,0.0
2006-11-03,0.0
2007-03-02,0.0
2007-04-27,100.0
2007-05-24,-40.0
2007-06-06,0.0
2007-06-13,191.6667
2007-06-14,100.0
2007-06-15,28.5714
2007-06-29,22.2222
2007-07-02,-9.0909
2007-07-06,0.0
2007-07-09,-30.0
2007-07-13,0.0
2007-07-16,-14.2857
2007-07-20,233.3333
2007-07-23,0.0
2007-07-24,-25.0
2007-07-26,-53.3333
