ticker,IZEA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-06-14,-16.6667
2011-06-16,100.0
2011-06-17,-40.0
2011-06-22,8.3333
2011-06-24,0.0
2011-07-12,-23.0769
2011-07-13,2.0
2011-07-14,1.1764999999999999
2011-07-18,0.0
2011-07-19,0.0
2011-07-25,-3.1008
2011-07-26,4.0
2011-07-27,0.0
2011-07-28,0.0
2011-07-29,0.0
2011-08-01,0.0
2011-08-09,0.0
2011-08-10,0.0
2011-08-15,-3.8462
2011-08-18,0.0
2011-08-19,4.0
2011-08-26,-23.0769
2011-08-29,0.0
2011-09-06,-25.0
2011-09-07,6.6667
2011-09-12,-6.25
2011-09-13,3.3333
2011-09-15,2.5806
2011-09-19,0.0
2011-09-20,-2.5157
2011-09-21,-6.4516
2011-09-22,-13.7931
2011-09-23,-4.0
2011-09-27,-4.1667
2011-09-30,21.7391
2011-10-05,-17.8571
2011-10-11,4.3478
2011-10-13,0.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-21,-8.3333
2011-10-24,4.5455
2011-10-25,0.8696
2011-10-26,0.8621
2011-10-27,1.7094
2011-10-28,2.521
2011-10-31,-1.6393
2011-11-01,0.0
2011-11-02,-4.1667
2011-11-03,8.6957
2011-11-04,8.0
2011-11-07,-5.1852
2011-11-08,1.5625
2011-11-09,0.0
2011-11-10,-7.6923
2011-11-11,-4.1667
2011-11-14,-12.1739
2011-11-15,2.9703
2011-11-16,-2.8846
2011-11-17,0.0
2011-11-18,-1.9802
2011-11-21,-14.1414
2011-11-22,-5.8824
2011-11-23,-6.25
2011-11-25,-6.6667
2011-11-28,0.0
2011-11-29,14.2857
2011-11-30,11.25
2011-12-01,-19.1011
2011-12-02,-2.7778
2011-12-05,0.0
2011-12-06,7.1429
2011-12-07,-6.6667
2011-12-08,-7.1429
2011-12-09,-7.6923
2011-12-12,1.6667
2011-12-13,14.7541
2011-12-14,-12.7143
2011-12-15,6.383
2011-12-16,7.6923
2011-12-19,-14.2857
2011-12-20,16.6667
2011-12-21,-3.5714
2011-12-22,3.6759
2011-12-23,2.8847
2011-12-27,0.0
2011-12-28,0.0
2011-12-29,-23.4722
2011-12-30,36.1162
2012-01-03,0.0
2012-01-04,-8.0
2012-01-05,1.4493
2012-01-06,-10.0
2012-01-09,11.1111
2012-01-10,-7.1429
2012-01-11,6.1538
2012-01-13,8.6957
2012-01-17,-6.6667
2012-01-18,-7.1429
2012-01-19,0.0
2012-01-20,0.0
2012-01-23,-7.6923
