ticker,LMST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2006-09-22,-4.1667
2006-09-25,1.0435
2006-09-26,-0.6885
2006-09-27,0.3033
2006-09-28,-0.8653
2006-09-29,-1.1751
2006-10-02,-0.7937
2006-10-03,0.5778
2006-10-04,-0.6186
2006-10-05,-0.2668
2006-10-06,0.0892
2006-10-09,0.4454
2006-10-10,-0.9756
2006-10-11,-0.3577
2006-10-12,-0.1354
2006-10-13,0.045
2006-10-16,0.2699
2006-10-17,-0.6281
2006-10-18,0.0
2006-10-19,-0.0903
2006-10-20,1.5816
2006-10-23,-1.0231
2006-10-24,0.0
2006-10-25,0.0
2006-10-26,0.0
2006-10-27,2.2472
2006-10-30,-0.8791
2006-10-31,0.0
2006-11-01,-0.5765
2006-11-02,0.8029
2006-11-03,-0.6637
2006-11-06,1.069
2006-11-07,-0.1763
2006-11-08,0.0
2006-11-09,-0.883
2006-11-10,1.3363
2006-11-14,-2.4176
2006-11-15,0.5405
2006-11-16,0.4032
2006-11-17,-0.6247
2006-11-20,0.1796
2006-11-21,-2.286
2006-11-22,0.4587
2006-11-24,-0.6849
2006-11-28,0.3678
2006-11-29,-0.1374
2006-11-30,0.4587
2006-12-01,-0.4566
2006-12-04,-0.4128
2006-12-05,0.2303
2006-12-06,-0.1838
2006-12-07,-0.5064
2006-12-08,-0.0925
2006-12-11,0.5558
2006-12-12,0.2303
2006-12-13,0.1838
2006-12-14,0.0
2006-12-15,1.5138
2006-12-18,0.0904
2006-12-19,-0.2257
2006-12-20,0.4525
2006-12-21,0.7273
2006-12-22,-0.1811
2006-12-26,-0.7228
2006-12-27,0.6375
2006-12-28,0.7692
2006-12-29,-0.7634
2007-01-03,1.1312
2007-01-04,-1.2528000000000001
2007-01-05,-0.5437
2007-01-08,-0.1367
2007-01-09,-0.3193
2007-01-10,0.0
2007-01-11,-0.2288
2007-01-12,0.2752
2007-01-17,0.5947
2007-01-18,-0.8186
2007-01-19,-0.0459
2007-01-22,-0.1376
2007-01-23,-0.5512
2007-01-24,1.5242
2007-01-25,-0.8189
2007-01-26,0.9174
2007-01-29,0.2273
2007-01-30,-0.5442
2007-01-31,0.0912
2007-02-01,0.2278
2007-02-02,0.2273
2007-02-05,-0.2268
2007-02-06,0.0455
2007-02-07,0.6361
2007-02-08,0.4515
2007-02-09,0.0449
2007-02-12,-0.0449
2007-02-13,0.4944
2007-02-14,-0.2683
2007-02-15,0.8969
2007-02-20,0.3111
2007-02-21,0.8418
2007-02-22,0.4833
