ticker,TYHJF US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-07,-23.6364
2000-01-25,9.5238
2000-07-14,17.3913
2000-09-07,7.4074
2000-09-08,25.8621
2000-09-27,-9.589
2000-12-21,-39.3939
2001-06-13,-32.5
2001-12-12,-55.0926
2001-12-21,-34.0206
2002-04-15,312.5
2002-04-19,4.5455
2002-05-06,15.942
2002-05-07,36.25
2002-05-09,16.3303
2002-05-10,-5.3628
2002-05-22,93.3333
2002-05-24,2.5862
2002-06-19,-40.0
2002-06-21,3.6414999999999997
2002-07-10,6.7568
2002-07-12,-0.6329
2002-07-16,8.0255
2002-07-18,-8.0189
2002-07-26,-31.7949
2002-08-06,-0.7519
2002-08-09,2.2727
2002-09-04,7.4074
2002-10-08,-4.4828
2002-10-09,0.0
2002-10-10,-6.1372
2002-10-15,16.5385
2002-10-21,8.9109
2002-10-22,-13.9394
2002-10-24,13.7324
2002-10-31,14.5511
2002-11-04,5.4054
2002-11-05,0.0
2002-11-06,-6.4103
2002-11-13,-18.3562
2002-11-15,-4.3624
2002-11-18,5.9649
2002-11-25,-10.596
2002-12-12,11.1111
2002-12-13,2.6667
2002-12-19,-9.0909
2002-12-20,-9.2857
2002-12-27,2.3622
2002-12-30,1.9231
2002-12-31,-1.5093999999999999
2003-01-02,3.4483
2003-01-03,-2.9167
2003-01-06,6.8193
2003-01-09,14.330400000000001
2003-01-10,3.8657
2003-01-13,5.2632
2003-01-15,-8.5714
2003-01-23,3.125
2003-01-27,4.5455
2003-01-29,-5.7971
2003-02-13,4.6154
2003-02-20,6.5625
2003-02-21,1.8975
2003-02-28,-7.635
2003-03-06,22.6906
2003-03-12,-13.9528
2003-03-25,-2.7778
2003-03-26,0.0
2003-03-27,8.5714
2003-04-14,-5.2632
2003-04-28,-19.4444
2003-05-22,-10.3448
2003-06-04,-1.5385
2003-06-17,40.625
2003-06-18,0.0
2003-07-16,-22.2222
2003-07-17,-3.5714
2003-07-25,37.037
2003-07-28,18.9189
2003-07-29,0.2273
2003-08-01,-9.2971
2003-08-19,-2.0
2003-08-27,-3.0612
2003-08-28,5.2632
2003-08-29,29.0
2003-09-08,-12.7907
2003-09-10,16.6667
2003-09-12,-2.4762
2003-09-15,5.4688
2003-09-17,-1.8519
2003-09-19,0.9434
2003-09-22,0.9346
2003-09-24,-5.5556
2003-09-29,-9.8039
2003-10-20,19.5652
2003-10-22,-3.6364
2003-10-23,-1.8868
2003-10-30,-11.538499999999999
2003-11-05,2.1739
