ticker,FPI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-04-11,-7.2857
2014-04-14,0.9245
2014-04-15,0.7634
2014-04-16,1.1364
2014-04-17,0.7491
2014-04-21,-0.3717
2014-04-22,0.3731
2014-04-23,0.0
2014-04-24,-0.7435
2014-04-25,2.6592000000000002
2014-04-28,-0.7661
2014-04-29,1.3971
2014-04-30,1.3053
2014-05-01,-0.68
2014-05-02,-0.5405
2014-05-05,-1.5941999999999998
2014-05-06,-4.0501
2014-05-07,0.9977
2014-05-08,0.6839
2014-05-09,-1.2075
2014-05-12,-4.4309
2014-05-13,0.4556
2014-05-14,-0.2934
2014-05-15,-0.4808
2014-05-16,-1.1217
2014-05-19,-1.0543
2014-05-20,4.0164
2014-05-21,-1.6233
2014-05-22,1.8904
2014-05-23,2.2799
2014-05-27,-1.5363
2014-05-28,-0.001
2014-05-29,0.5464
2014-05-30,1.7081
2014-06-02,-0.1527
2014-06-03,0.4587
2014-06-04,-0.3805
2014-06-05,0.0
2014-06-06,0.4584
2014-06-09,0.0
2014-06-10,-1.0646
2014-06-11,1.2298
2014-06-12,0.9871
2014-06-13,0.3008
2014-06-16,-0.6747
2014-06-17,1.1320999999999999
2014-06-18,-1.1194
2014-06-19,0.0
2014-06-20,-7.5472
2014-06-23,2.0408
2014-06-24,0.08
2014-06-25,0.8793
2014-06-26,0.6339
2014-06-27,-0.748
2014-06-30,4.8
2014-07-01,1.2214
2014-07-02,-0.2262
2014-07-03,-0.6803
2014-07-07,0.2283
2014-07-08,0.3797
2014-07-09,0.2269
2014-07-10,-0.6038
2014-07-11,1.1465
2014-07-14,1.0031
2014-07-15,-0.1951
2014-07-16,-0.8517
2014-07-17,2.073
2014-07-18,-0.6034
2014-07-21,-0.4294
2014-07-22,1.3383
2014-07-23,-4.2553
2014-07-24,-2.9885
2014-07-25,-4.6603
2014-07-28,-0.4971
2014-07-29,0.0
2014-07-30,0.1665
2014-07-31,-1.7456
2014-08-01,-8.6294
2014-08-04,1.8519
2014-08-05,-2.6364
2014-08-06,0.4669
2014-08-07,0.4647
2014-08-08,0.37
2014-08-11,0.553
2014-08-12,-1.9247999999999998
2014-08-13,1.8692
2014-08-14,-3.1193
2014-08-15,2.6515
2014-08-18,4.428
2014-08-19,-1.4134
2014-08-20,-0.5376
2014-08-21,2.8829000000000002
2014-08-22,4.641
2014-08-25,-2.6778
2014-08-26,-1.0318
2014-08-27,3.5621
2014-08-28,-0.9228
2014-08-29,-1.8628
2014-09-02,1.8119
