ticker,ARES US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-05-02,-2.1053
2014-05-05,0.0
2014-05-06,-0.6452
2014-05-07,-4.0584
2014-05-08,0.564
2014-05-09,-1.346
2014-05-12,-2.1603
2014-05-13,-0.0581
2014-05-14,-0.2907
2014-05-15,2.2741
2014-05-16,0.4561
2014-05-19,1.2486
2014-05-20,0.5605
2014-05-21,-0.223
2014-05-22,0.5587
2014-05-23,0.9444
2014-05-27,0.7155
2014-05-28,2.1311
2014-05-29,0.5886
2014-05-30,1.0638
2014-06-02,-0.8421
2014-06-03,-0.69
2014-06-04,0.481
2014-06-05,-2.0213
2014-06-06,-0.1086
2014-06-09,1.6303999999999998
2014-06-10,-0.6952
2014-06-11,1.0232
2014-06-12,-0.693
2014-06-13,-1.4485999999999999
2014-06-16,1.3065
2014-06-17,-0.8065
2014-06-18,0.813
2014-06-19,0.2419
2014-06-20,0.0268
2014-06-23,0.7507
2014-06-24,-0.4151
2014-06-25,-0.2245
2014-06-26,-0.2678
2014-06-27,1.2889
2014-06-30,1.6966999999999999
2014-07-01,-1.7205
2014-07-02,-0.3183
2014-07-03,0.8515
2014-07-07,0.1055
2014-07-08,1.476
2014-07-09,-0.2597
2014-07-10,-0.0521
2014-07-11,-0.938
2014-07-14,0.7365
2014-07-15,0.0
2014-07-16,-0.3655
2014-07-17,-0.3145
2014-07-18,0.8938
2014-07-21,1.6154
2014-07-22,0.6154
2014-07-23,0.3058
2014-07-24,0.8638
2014-07-25,0.0
2014-07-28,-2.114
2014-07-29,2.1596
2014-07-30,-1.461
2014-07-31,-0.6646
2014-08-01,-1.1837
2014-08-04,-2.5521000000000003
2014-08-05,-0.1069
2014-08-06,-4.6549
2014-08-07,-0.1684
2014-08-08,-1.1804000000000001
2014-08-11,2.1047
2014-08-12,0.2228
2014-08-13,1.1117
2014-08-14,-1.3194
2014-08-15,0.6128
2014-08-18,-1.495
2014-08-19,0.0562
2014-08-20,0.7865
2014-08-21,0.0
2014-08-22,0.0563
2014-08-25,1.5756999999999999
2014-08-26,-0.3324
2014-08-27,-0.1112
2014-08-28,-0.6678
2014-08-29,0.1681
2014-09-02,1.2864
2014-09-03,-0.1767
2014-09-04,-2.6441
2014-09-05,2.7841
2014-09-08,-0.387
2014-09-09,-1.4983
2014-09-10,1.0704
2014-09-11,-0.223
2014-09-12,-0.7821
2014-09-15,0.1126
2014-09-16,-0.7593
2014-09-17,0.3117
2014-09-18,0.0
2014-09-19,1.3559
