ticker,SVTE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-10-18,0.0
2012-10-22,-49.0
2012-10-23,0.0
2012-10-26,96.0784
2012-10-31,-5.0
2012-11-30,5.2632
2013-02-06,-5.0
2013-03-07,-36.8421
2013-04-19,25.0
2013-04-23,-66.6667
2013-05-10,200.0
2013-05-15,0.0
2013-06-05,0.0
2013-06-10,40.0
2013-06-11,19.0476
2013-07-15,-48.0
2013-08-15,0.0
2013-08-21,0.0
2013-09-24,-7.6923
2013-10-29,5.3021
2013-12-17,-20.8626
2014-01-03,-40.0
2014-01-09,23.3333
2014-01-13,35.1351
2014-01-14,-14.6
2014-01-16,5.3864
2014-01-22,0.0
2014-01-27,-11.1111
2014-01-29,12.5
2014-02-06,11.1111
2014-03-13,30.0
2014-03-14,0.0
2014-04-11,-30.7692
2014-04-25,22.2222
2014-04-29,9.0909
2014-05-01,0.0
2014-05-02,16.6667
2014-05-09,-35.7143
2014-05-14,0.0
2014-05-22,-33.3333
2014-05-23,-96.3333
2014-05-27,809.0909
2014-05-30,-50.0
2014-06-02,200.0
2014-06-03,33.3333
2014-06-06,25.0
2014-07-24,80.0
2014-07-31,-11.1111
2014-08-04,-2.5
2014-08-14,2.5641
2014-08-26,-37.5
2014-09-23,-15.6
2014-09-24,-23.2227
2014-10-10,54.321
2014-10-27,-60.0
2014-12-31,150.0
2015-01-08,0.0
2015-01-15,-20.0
2015-01-27,25.0
2015-01-30,20.0
2015-02-04,0.0
2015-02-05,33.3333
2015-02-06,12.5
2015-02-19,-31.1111
2015-03-27,29.0323
2015-04-01,-37.5
2015-04-06,0.0
2015-04-07,76.0
2015-04-24,-54.5455
2015-04-30,50.0
2015-05-08,-33.3333
2015-05-11,-20.0
2015-05-22,12.5
2015-06-25,-16.6667
2015-07-01,13.3333
2015-07-02,29.4118
2015-07-06,29.5455
2015-07-07,-12.2807
2015-07-09,6.0
2015-07-10,-18.4906
2015-07-13,4.1667
2015-07-14,1.9167
2015-07-15,2.0442
2015-07-16,19.6581
2015-07-17,-7.1429
2015-07-20,-15.3846
2015-07-21,0.0
2015-07-22,-9.0909
2015-07-24,5.0
2015-07-27,0.0
2015-07-28,-4.7619
2015-07-29,-10.0
2015-07-30,0.0
2015-07-31,0.0
2015-08-04,-16.6667
2015-08-05,-20.0
2015-08-06,-70.8333
2015-08-07,211.4286
2015-08-10,10.0917
2015-08-11,-8.3333
2015-08-12,-54.5455
2015-08-13,0.0
2015-08-14,-20.0
2015-08-18,0.0
