ticker,DGX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-1.8405
2000-01-04,-0.2083
2000-01-05,-0.8351
2000-01-06,0.4211
2000-01-07,3.9832
2000-01-10,1.8145
2000-01-11,-0.198
2000-01-12,-0.3968
2000-01-13,3.7849
2000-01-14,-4.4146
2000-01-18,1.8072
2000-01-19,-0.5917
2000-01-20,0.5952
2000-01-21,0.0
2000-01-24,0.1972
2000-01-25,0.9843
2000-01-26,12.2807
2000-01-27,-8.3333
2000-01-28,1.8939
2000-01-31,1.1152
2000-02-01,-1.4706000000000001
2000-02-02,0.1866
2000-02-03,2.6071
2000-02-04,2.1779
2000-02-07,0.7105
2000-02-08,0.8818
2000-02-09,1.049
2000-02-10,0.692
2000-02-11,-2.9210000000000003
2000-02-14,-1.9468999999999999
2000-02-15,0.722
2000-02-16,0.8961
2000-02-17,0.3552
2000-02-18,-2.1239
2000-02-22,1.9891999999999999
2000-02-23,0.7092
2000-02-24,-1.2324
2000-02-25,-0.1783
2000-02-28,-2.5
2000-02-29,0.5495
2000-03-01,4.5537
2000-03-02,0.3484
2000-03-03,2.4306
2000-03-06,4.5763
2000-03-07,-4.376
2000-03-08,0.8475
2000-03-09,1.0084
2000-03-10,-1.9967000000000001
2000-03-13,-0.3396
2000-03-14,-2.5554
2000-03-15,1.2238
2000-03-16,8.4629
2000-03-17,1.1146
2000-03-20,-4.252
2000-03-21,-5.9211
2000-03-22,3.6713
2000-03-23,-0.8432
2000-03-24,-2.551
2000-03-27,-1.0471
2000-03-28,6.3492
2000-03-29,-1.8242
2000-03-30,-0.1689
2000-03-31,7.6142
2000-04-03,0.1572
2000-04-04,-3.6107
2000-04-05,4.5603
2000-04-06,3.271
2000-04-07,1.3575
2000-04-10,-1.1905000000000001
2000-04-11,1.0542
2000-04-12,0.4471
2000-04-13,1.3353
2000-04-14,4.246
2000-04-17,12.9213
2000-04-18,11.4428
2000-04-19,-1.6741000000000001
2000-04-20,-2.6107
2000-04-24,0.2331
2000-04-25,6.5116
2000-04-26,3.0568
2000-04-27,0.0
2000-04-28,-1.3771
2000-05-01,1.5038
2000-05-02,-1.3757
2000-05-03,-3.3262
2000-05-04,0.7769
2000-05-05,5.0661
2000-05-08,-0.4193
2000-05-09,1.4737
2000-05-10,-2.2822
2000-05-11,5.414
2000-05-12,7.9557
2000-05-15,-0.7463
2000-05-16,4.8872
2000-05-17,-2.6882
2000-05-18,-4.3278
2000-05-19,-5.1011
2000-05-22,-0.9128
