ticker,CRI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2003-10-24,29.7368
2003-10-27,4.6653
2003-10-28,9.6899
2003-10-29,-1.7314
2003-10-30,-2.0137
2003-10-31,2.7523
2003-11-03,1.3571
2003-11-04,0.74
2003-11-05,0.3498
2003-11-06,0.0349
2003-11-07,-0.1394
2003-11-10,-0.3838
2003-11-11,-0.5254
2003-11-12,1.7606000000000002
2003-11-13,-0.519
2003-11-14,-1.2174
2003-11-17,-2.1127
2003-11-18,-5.036
2003-11-19,-4.9242
2003-11-20,-1.4343
2003-11-21,3.6378
2003-11-24,8.8924
2003-11-25,-1.8625
2003-11-26,-1.2044
2003-11-28,0.4064
2003-12-01,2.0971
2003-12-02,0.5405
2003-12-03,-5.3763
2003-12-04,-1.5152
2003-12-05,-1.7308
2003-12-08,-4.501
2003-12-09,0.8197
2003-12-10,2.6016
2003-12-11,0.1981
2003-12-12,-1.9375
2003-12-15,0.0
2003-12-16,0.7661
2003-12-17,0.4402
2003-12-18,0.996
2003-12-19,0.0
2003-12-22,-0.3945
2003-12-23,0.5941
2003-12-24,0.1575
2003-12-26,1.8082
2003-12-29,0.1158
2003-12-30,-0.1157
2003-12-31,-1.7375
2004-01-02,-1.2181
2004-01-05,0.7955
2004-01-06,0.8287
2004-01-07,2.544
2004-01-08,0.1908
2004-01-09,-3.4286
2004-01-12,-1.3807
2004-01-13,1.2
2004-01-14,-0.9881
2004-01-15,3.7525
2004-01-16,4.2709
2004-01-20,-0.738
2004-01-21,0.5576
2004-01-22,0.3697
2004-01-23,1.8416000000000001
2004-01-26,1.4466999999999999
2004-01-27,-0.8556
2004-01-28,1.6181
2004-01-29,-0.3892
2004-01-30,-0.5329
2004-02-02,-0.3571
2004-02-03,-1.6129
2004-02-04,-1.4208
2004-02-05,0.7021
2004-02-06,1.5046
2004-02-09,3.0369
2004-02-10,0.4561
2004-02-11,1.2924
2004-02-12,-0.4828
2004-02-13,-0.693
2004-02-17,-0.2094
2004-02-18,0.1399
2004-02-19,-0.838
2004-02-20,0.0352
2004-02-23,-1.0912
2004-02-24,0.4626
2004-02-25,1.6649
2004-02-26,4.1463
2004-02-27,0.368
2004-03-01,2.0
2004-03-02,-0.6536
2004-03-03,-3.2895
2004-03-04,1.1905000000000001
2004-03-05,0.8067
2004-03-08,0.0333
2004-03-09,-1.3333
2004-03-10,0.0
2004-03-11,1.1824
2004-03-12,-0.0668
2004-03-15,0.4009
2004-03-16,1.1314
2004-03-17,-0.2962
