ticker,DECK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,-3.5714
2000-01-05,1.2346
2000-01-06,8.5366
2000-01-07,-3.3708
2000-01-10,-6.9767
2000-01-11,17.5
2000-01-12,2.1277
2000-01-13,5.2083
2000-01-14,-6.9307
2000-01-18,2.1277
2000-01-19,0.0
2000-01-20,-1.5625
2000-01-21,1.5873
2000-01-24,0.0
2000-01-25,-4.1667
2000-01-26,-2.1739
2000-01-27,-6.6667
2000-01-28,4.7619
2000-01-31,0.0
2000-02-01,4.5455
2000-02-02,0.0
2000-02-03,-2.7174
2000-02-04,5.0279
2000-02-07,2.1277
2000-02-08,2.0833
2000-02-09,6.1224
2000-02-10,7.6923
2000-02-11,-3.5714
2000-02-14,18.5185
2000-02-15,0.0
2000-02-16,-3.125
2000-02-17,1.6129
2000-02-18,-1.5873
2000-02-22,-6.4516
2000-02-23,-6.8966
2000-02-24,0.0
2000-02-25,3.7037
2000-02-28,3.5714
2000-02-29,-3.4483
2000-03-01,-14.2857
2000-03-02,12.5
2000-03-03,-0.9259
2000-03-06,0.9346
2000-03-07,-2.7778
2000-03-08,0.0
2000-03-09,6.6667
2000-03-10,-10.7143
2000-03-13,1.0
2000-03-14,6.9307
2000-03-15,-3.2407
2000-03-16,-8.134
2000-03-17,6.25
2000-03-20,13.7255
2000-03-21,5.1724
2000-03-22,3.2787
2000-03-23,1.5873
2000-03-24,0.0
2000-03-27,0.0
2000-03-28,-10.9375
2000-03-29,5.2632
2000-03-30,3.3333
2000-03-31,3.2258
2000-04-03,-6.25
2000-04-04,-6.6667
2000-04-05,5.3571
2000-04-06,-5.0847
2000-04-10,-3.5714
2000-04-11,0.0
2000-04-12,3.7037
2000-04-13,0.0
2000-04-14,-5.3571
2000-04-17,-1.8868
2000-04-18,11.538499999999999
2000-04-19,-10.3448
2000-04-20,1.9231
2000-04-24,-1.8868
2000-04-25,15.3846
2000-04-26,-11.6667
2000-04-27,20.7547
2000-04-28,0.0
2000-05-01,0.0
2000-05-02,-7.8125
2000-05-03,1.6949
2000-05-05,0.0
2000-05-08,0.0
2000-05-09,0.0
2000-05-10,-0.8333
2000-05-11,-4.2017
2000-05-12,1.7544
2000-05-15,-6.0345
2000-05-16,10.0917
2000-05-17,0.0
2000-05-18,3.3333
2000-05-19,-6.4516
2000-05-22,-10.3448
2000-05-24,11.538499999999999
2000-05-25,0.0
2000-05-26,-10.3448
2000-05-30,0.0
2000-06-01,7.6923
