ticker,BVERS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-01-09,4.7059
2001-01-10,1.1236
2001-04-04,2.3333
2008-04-22,766.1186
2008-04-23,5.7627
2008-04-30,-0.641
2008-05-20,29.0323
2008-05-22,-7.5
2008-05-23,-12.1622
2008-06-02,8.3077
2008-06-18,-0.5682
2008-06-19,0.0
2008-06-24,-4.2857
2008-06-27,-5.9701
2008-09-05,4.5016
2008-11-20,-7.7399000000000004
2008-11-21,-17.7852
2008-11-24,0.0
2008-12-01,2.0408
2008-12-10,8.8
2008-12-11,2.9412000000000003
2008-12-12,-6.4286
2008-12-17,0.8534
2008-12-29,0.0
2009-01-12,-7.6923
2009-01-26,-8.3333
2009-01-28,13.6364
2009-01-29,6.5600000000000005
2009-01-30,-4.2793
2009-02-02,5.8824
2009-02-20,3.7037
2009-02-23,-28.2143
2009-02-24,1.99
2009-03-10,0.0
2009-03-18,0.9852
2009-03-20,-2.439
2009-04-16,-14.0
2009-04-29,19.186
2009-05-04,-9.2683
2009-05-06,0.5376
2009-05-07,1.6042999999999998
2009-05-11,10.526299999999999
2009-05-12,4.7619
2009-05-21,9.0909
2009-06-11,-19.5833
2009-06-17,18.9189
2009-06-19,0.0
2009-06-22,0.0
2009-06-23,0.0
2009-06-24,0.0
2009-06-29,0.0
2009-06-30,0.0
2009-07-02,0.0
2009-07-06,0.0
2009-07-07,0.0
2009-07-08,0.0
2009-07-10,0.0
2009-07-15,0.0
2009-07-20,9.0909
2009-08-24,2.0833
2009-09-02,10.2041
2009-09-15,-9.2593
2009-10-20,14.1167
2009-10-21,-4.8148
2009-10-22,5.0584
2009-10-23,0.0
2009-11-10,0.0
2009-11-24,-3.7037
2009-11-25,3.8462
2009-11-30,0.0
2009-12-31,-1.8045
2010-01-04,7.5804
2010-01-05,-7.1174
2010-01-21,7.2797
2010-01-22,0.0
2010-02-02,0.0
2010-02-03,-5.7143
2010-02-04,2.2727
2010-02-05,0.0
2010-02-26,0.0
2010-03-16,-2.2255
2010-03-17,-1.3657
2010-04-15,1.1538
2010-04-27,0.7605
2010-05-14,-1.5093999999999999
2010-06-16,0.0
2010-06-30,-1.1628
2010-07-01,0.0
2010-07-13,1.9607999999999999
2010-07-19,3.8462
2010-07-20,0.0
2010-07-22,0.0
2010-08-02,0.0
2010-08-24,0.0
2010-10-18,0.4532
2010-11-05,0.0
2010-11-08,5.2632
2010-11-09,1.7856999999999998
2010-11-16,0.0
2010-11-17,-6.6667
2010-11-19,5.2632
