ticker,COSM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2010-07-26,0.0
2010-07-27,0.0
2010-07-28,0.0
2010-07-29,0.0
2010-07-30,0.0
2010-08-02,-0.8
2010-08-03,0.8065
2010-08-04,-0.8
2010-08-05,0.0
2010-08-06,0.0
2010-08-10,0.0
2010-08-11,0.0
2010-08-12,0.0
2010-08-20,-79.8387
2010-08-23,400.0
2010-08-24,0.0
2010-08-25,-43.2
2010-08-26,-1.4085
2010-09-10,0.0
2010-10-25,44.2857
2010-10-29,-10.8911
2010-12-03,-21.1111
2010-12-08,42.2535
2011-01-27,-55.4455
2011-01-28,57.7778
2011-01-31,40.8451
2011-02-01,1.0
2011-02-02,-47.5248
2011-02-03,3.7736
2011-02-04,0.0
2011-02-09,-18.1818
2011-02-15,-33.3333
2011-02-16,16.6667
2011-02-17,57.1429
2011-02-18,0.0
2011-02-22,36.3636
2011-02-23,-32.0
2011-02-24,47.0588
2011-02-28,0.0
2011-03-02,-5.3333
2011-03-07,-8.4507
2011-03-09,0.0
2011-03-10,0.0
2011-03-15,-21.5385
2011-03-16,17.647100000000002
2011-03-17,0.0
2011-04-06,33.3333
2011-04-07,12.5
2011-04-08,-22.2222
2011-04-11,35.7143
2011-04-12,-16.8421
2011-04-28,-62.0253
2011-04-29,166.6667
2011-05-02,0.0
2011-05-05,-12.5
2011-05-10,14.2857
2011-05-11,18.75
2011-05-17,5.2632
2011-05-18,-1.0
2011-05-20,-24.2424
2011-05-23,32.0
2011-05-24,10.101
2011-05-26,-53.211
2011-05-27,76.4706
2011-06-06,0.0
2011-06-08,-5.5556
2011-06-10,-5.8824
2011-06-14,-27.5
2011-06-17,-8.6207
2011-06-20,-60.3774
2011-06-21,42.8571
2011-06-22,70.0
2011-06-23,56.8627
2011-06-24,-56.25
2011-06-27,74.2857
2011-06-28,-42.623
2011-06-29,114.2857
2011-07-01,-32.0
2011-07-05,47.0588
2011-07-21,21.3333
2011-07-22,-1.0989
2011-07-25,-44.4444
2011-07-27,50.0
2011-08-04,34.6667
2011-08-30,18.8119
2011-09-20,-58.3333
2011-09-22,-10.0
2011-09-23,-46.6667
2011-09-27,-4.1667
2011-09-28,-4.4022
2011-09-29,5.5145
2011-09-30,93.9655
2011-10-19,66.6667
2011-12-08,-32.0
2012-01-18,-50.9804
2012-01-20,-60.0
2012-01-23,300.0
2012-03-15,27.5
2012-03-16,-1.9607999999999999
2012-03-20,-10.0
2012-03-21,-11.1111
2012-04-05,-36.875
