ticker,ATCX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-02-01,8.0415
2019-02-05,-8.4021
2019-02-08,0.4188
2019-02-11,0.4171
2019-02-12,0.3115
2019-02-14,0.9317
2019-02-15,-0.2051
2019-02-19,-0.1028
2019-02-21,0.1029
2019-02-28,0.8222
2019-03-11,0.0
2019-03-12,-1.1213
2019-03-13,0.0
2019-03-15,0.0
2019-03-20,0.1031
2019-03-26,0.103
2019-03-28,0.5144
2019-03-29,-0.5118
2019-04-02,0.1029
2019-04-04,0.2045
2019-04-05,-0.1015
2019-04-08,0.0
2019-04-09,0.0
2019-04-10,-0.1027
2019-04-15,0.7194
2019-04-23,-0.3878
2019-04-25,-0.0205
2019-04-26,0.0
2019-04-29,0.0
2019-04-30,0.0
2019-05-01,-0.1025
2019-05-03,0.5128
2019-05-06,-0.4082
2019-05-07,0.1025
2019-05-08,0.0
2019-05-10,-0.1024
2019-05-13,-0.1025
2019-05-14,0.0
2019-05-15,0.3077
2019-05-17,-0.2045
2019-05-20,0.1025
2019-05-23,0.0
2019-05-28,0.1024
2019-05-31,0.0
2019-06-03,-0.2045
2019-06-04,0.2049
2019-06-05,0.2045
2019-06-06,0.102
2019-06-07,0.1019
2019-06-13,0.611
2019-06-14,-0.3036
2019-06-18,-0.1015
2019-06-20,0.0
2019-06-25,-0.4065
2019-06-26,0.3449
2019-06-27,0.1647
2019-06-28,0.0
2019-07-02,-0.3046
2019-07-08,0.2037
2019-07-10,-0.2033
2019-07-12,0.1018
2019-07-15,-0.1017
2019-07-18,0.1018
2019-07-22,0.1017
2019-07-24,-0.1016
2019-07-26,1.7294
2019-07-29,-1.0
2019-07-30,-0.8081
2019-07-31,0.0
2019-08-01,-0.447
2019-08-02,0.3468
2019-08-05,0.7136
2019-08-07,0.0
2019-08-08,0.1012
2019-08-09,0.0
2019-08-13,1.5167000000000002
2019-08-14,0.0468
2019-08-15,-0.0468
2019-08-16,0.0996
2019-08-19,-0.0836
2019-08-20,0.0837
2019-08-23,-0.0995
2019-08-26,0.0996
2019-08-27,0.0
2019-08-28,0.0507
2019-08-29,-0.0507
2019-08-30,0.0
2019-09-03,0.199
2019-09-04,-0.1986
2019-09-05,0.2985
2019-09-06,-0.0992
2019-09-09,-0.1986
2019-09-10,-0.0995
2019-09-12,0.3984
2019-09-13,-0.3968
2019-09-16,-0.1992
2019-09-17,0.1996
2019-09-19,0.0996
2019-09-23,-0.199
2019-09-24,0.2981
2019-09-25,0.001
2019-09-26,0.0109
