ticker,ADI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-3.0242
2000-01-04,-5.0589
2000-01-05,1.4599
2000-01-06,-2.7338
2000-01-07,2.8106999999999998
2000-01-10,8.705
2000-01-11,-4.1032
2000-01-12,3.2436
2000-01-13,0.3342
2000-01-14,8.0613
2000-01-18,-2.836
2000-01-19,2.9821999999999997
2000-01-20,-1.9717
2000-01-21,-2.8284000000000002
2000-01-24,2.0052
2000-01-25,6.5314
2000-01-26,-3.1548
2000-01-27,-5.5317
2000-01-28,-0.5856
2000-01-31,-2.0942
2000-02-01,4.8128
2000-02-02,-1.7856999999999998
2000-02-03,9.8701
2000-02-04,5.4374
2000-02-07,6.7265
2000-02-08,-3.5714
2000-02-09,0.817
2000-02-10,0.3782
2000-02-11,-1.2917
2000-02-14,2.072
2000-02-15,2.4573
2000-02-16,6.3608
2000-02-17,10.5882
2000-02-18,-3.7234
2000-02-22,5.8471
2000-02-23,2.7403
2000-02-24,9.2718
2000-02-25,-2.7509
2000-02-28,-4.741
2000-02-29,5.2279
2000-03-01,2.7027
2000-03-02,-3.3669000000000002
2000-03-03,7.0084
2000-03-06,9.3563
2000-03-07,-9.6509
2000-03-08,0.3788
2000-03-09,6.8679
2000-03-10,-2.2952
2000-03-13,-4.5898
2000-03-14,-11.7424
2000-03-15,-7.9828
2000-03-16,17.9104
2000-03-17,-1.4241
2000-03-20,3.0498
2000-03-21,5.9190000000000005
2000-03-22,8.2353
2000-03-23,-1.6303999999999998
2000-03-24,-3.0387
2000-03-27,0.2849
2000-03-28,-7.3864
2000-03-29,5.8282
2000-03-30,-9.5652
2000-03-31,3.2051
2000-04-03,-7.8416
2000-04-04,-4.2965
2000-04-05,2.7949
2000-04-06,7.9854
2000-04-07,0.2379
2000-04-10,-10.1266
2000-04-11,-3.8731999999999998
2000-04-12,-8.7912
2000-04-13,-0.2008
2000-04-14,-5.6338
2000-04-17,11.0874
2000-04-18,0.6718
2000-04-19,-3.8132
2000-04-20,2.6759
2000-04-24,-5.0193
2000-04-25,7.9268
2000-04-26,-1.2241
2000-04-27,9.1516
2000-04-28,7.3362
2000-05-01,1.1391
2000-05-02,-8.206
2000-05-03,-4.2945
2000-05-04,-0.3663
2000-05-05,1.3787
2000-05-08,-5.8024000000000004
2000-05-09,-6.5448
2000-05-10,-7.724
2000-05-11,6.9196
2000-05-12,3.1315
2000-05-15,-0.1012
2000-05-16,9.8278
2000-05-17,8.4871
2000-05-18,-0.4252
2000-05-19,-4.2699
