ticker,UCPA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-03-24,20.0
2009-03-31,1.6667
2009-04-02,1.6393
2009-04-17,3.2258
2009-05-05,1.5625
2009-05-07,0.0
2009-06-11,0.0
2009-09-23,-1.5385
2009-10-14,12.5
2009-10-15,50.0
2009-10-16,-7.4074
2009-10-19,-16.0
2009-10-20,14.2857
2009-10-21,8.3333
2009-10-22,11.538499999999999
2009-10-23,3.4483
2009-10-26,16.6667
2009-10-27,-2.8571
2009-10-28,-2.9412000000000003
2009-10-30,6.0606
2009-11-02,1.4285999999999999
2009-11-03,11.2676
2009-11-04,1.2658
2009-11-09,-2.5
2009-11-10,0.0
2009-11-11,0.0
2009-11-12,2.5641
2009-11-13,2.5
2009-11-16,-2.439
2009-11-18,0.0
2009-11-19,22.5
2009-11-20,-2.0408
2009-11-23,-2.0833
2009-11-24,3.8298
2009-11-25,8.4016
2009-11-27,-4.5369
2009-11-30,4.9505
2009-12-01,3.7736
2009-12-02,9.0909
2009-12-03,-6.5
2009-12-04,-5.5258
2009-12-07,1.8868
2009-12-08,3.7037
2009-12-09,7.1429
2009-12-10,3.3333
2009-12-11,-3.2258
2009-12-14,0.0
2009-12-15,11.6667
2009-12-16,-2.2388
2009-12-17,2.2901
2009-12-18,-4.4776
2009-12-21,-4.6875
2009-12-22,-5.7377
2009-12-23,2.6087
2009-12-24,-11.8644
2009-12-28,-13.461500000000001
2009-12-29,-5.5556
2009-12-30,5.8824
2009-12-31,-11.1111
2010-01-04,-5.0
2010-01-05,5.2632
2010-01-06,33.75
2010-01-07,2.8037
2010-01-08,0.0
2010-01-11,18.1818
2010-01-12,0.0
2010-01-13,3.0769
2010-01-14,8.209
2010-01-15,-6.2069
2010-01-19,0.0
2010-01-20,-7.3529
2010-01-21,0.0
2010-01-22,-9.5238
2010-01-25,1.7544
2010-01-26,0.0
2010-01-27,-2.5862
2010-01-28,2.6549
2010-01-29,-5.1724
2010-02-01,-12.7273
2010-02-02,4.1667
2010-02-03,2.0
2010-02-04,-3.9215999999999998
2010-02-05,-8.1633
2010-02-08,6.6667
2010-02-09,-4.1667
2010-02-10,4.3478
2010-02-11,0.0
2010-02-12,-2.0833
2010-02-16,8.5106
2010-02-17,-9.8039
2010-02-18,-0.4348
2010-02-19,0.4367
2010-02-22,-8.6957
2010-02-23,-11.9048
2010-02-24,-18.9189
2010-02-25,-16.6667
2010-02-26,-8.0
2010-03-01,13.0435
2010-03-02,3.8462
2010-03-03,-3.7037
