ticker,LEON US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-02-16,8.3333
2012-05-23,-38.4615
2012-06-19,490.0
2012-06-20,0.0
2012-06-21,2.9661
2012-07-02,-5.3498
2012-07-09,19.5652
2012-07-10,-5.0909
2012-07-11,18.7739
2012-07-12,6.4516
2012-07-13,-3.3333
2012-07-16,1.8809
2012-07-20,-7.6923
2012-07-24,-5.0
2012-07-25,5.2632
2012-07-26,-3.3333
2012-07-30,-31.0345
2012-07-31,44.0
2012-08-02,-4.5139
2012-08-03,9.0909
2012-08-06,-20.0
2012-08-07,13.8333
2012-08-09,-15.8126
2012-08-10,17.3913
2012-08-14,-7.4074
2012-08-15,0.0
2012-08-16,0.0
2012-08-22,-52.0
2012-08-23,95.8333
2012-08-24,6.383
2012-08-27,-41.92
2012-08-28,48.2094
2012-08-31,-4.7398
2012-09-04,-12.1951
2012-09-05,11.0
2012-09-06,-46.9469
2012-09-07,88.4906
2012-09-12,-49.9499
2012-09-14,10.0
2012-09-18,-18.1818
2012-09-19,0.0
2012-09-24,5.5556
2012-10-03,12.6316
2012-10-04,66.3551
2012-10-11,-29.7753
2012-10-12,-35.84
2012-10-15,62.0948
2012-10-17,-38.4615
2012-10-18,-37.0
2012-10-19,9.127
2012-10-22,26.1818
2012-10-24,-42.0749
2012-10-31,49.2537
2012-11-01,-6.3333
2012-11-02,6.7616
2012-11-05,50.0
2012-11-06,-11.1111
2012-11-07,0.0
2012-11-08,6.25
2012-11-09,-17.647100000000002
2012-11-12,7.1429
2012-11-13,-17.3333
2012-11-14,-33.871
2012-11-15,82.9268
2012-11-16,-46.6667
2012-11-19,-69.0
2012-11-20,109.6774
2012-11-21,207.6923
2012-11-28,-62.5
2012-12-05,-55.9333
2012-12-11,30.8623
2012-12-12,44.5087
2012-12-13,0.0
2012-12-17,0.0
2012-12-18,-40.0
2012-12-20,94.0
2012-12-24,174.9141
2012-12-26,-6.25
2012-12-27,-34.6667
2012-12-28,42.449
2013-01-25,-15.1862
2013-01-28,-32.4324
2013-01-29,-25.0
2013-02-05,33.3333
2013-02-06,10.0
2013-02-08,-38.6364
2013-02-11,48.1481
2013-02-13,-13.5
2013-02-14,4.0462
2013-02-19,-27.7778
2013-02-20,-8.461500000000001
2013-02-22,0.0
2013-02-25,0.0
2013-02-27,93.2773
2013-02-28,8.6957
2013-03-05,-33.6
2013-03-13,4.8193
2013-03-14,-42.5287
2013-03-18,-10.0
2013-03-19,-11.1111
2013-03-20,-13.75
