ticker,MSBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-12,-4.4643
2000-01-14,4.6729
2000-01-28,-3.5714
2000-01-31,5.5556
2000-03-03,10.526299999999999
2000-03-22,0.0
2000-03-30,0.0
2000-04-06,-3.3333
2000-04-18,0.0
2000-04-24,-1.7241
2000-05-05,5.2632
2000-05-23,0.0
2000-06-06,3.3333
2000-06-14,-3.2258
2000-06-15,0.0
2000-06-19,0.0
2000-06-20,1.6667
2000-07-20,-1.6393
2000-07-21,3.3333
2000-07-31,-3.2258
2000-08-11,0.0
2000-10-02,0.8333
2000-10-17,2.4793
2000-11-03,1.6129
2000-11-17,7.9365
2000-11-22,23.5294
2001-01-23,-9.5238
2001-02-20,-10.526299999999999
2001-03-15,0.0
2001-05-15,-5.8824
2001-05-30,-3.125
2001-05-31,3.2258
2001-06-15,0.0
2001-06-22,0.0
2001-06-26,-1.5625
2001-06-27,-1.5873
2001-06-28,3.2258
2001-07-03,-1.5625
2001-07-18,3.1746
2001-07-20,-1.5385
2001-07-24,-1.5625
2001-08-02,-1.5873
2001-08-07,1.6129
2001-08-20,3.1746
2001-08-29,1.5385
2001-09-17,-3.0303
2001-10-30,-0.9375
2001-11-01,0.0
2001-11-14,-2.2082
2001-12-04,6.4516
2001-12-27,-3.0303
2002-01-09,1.5625
2002-01-10,-3.6923
2002-01-23,0.0
2002-01-24,0.0
2002-01-25,-2.5559
2002-02-04,0.3279
2002-02-27,0.6536
2002-03-01,-1.9481000000000002
2002-03-05,-6.2914
2002-03-14,5.3004
2002-03-26,-4.0268
2002-04-15,4.8951
2002-04-16,2.6667
2002-04-22,-0.6494
2002-04-24,-1.9607999999999999
2002-04-25,2.6667
2002-05-10,0.6494
2002-05-16,9.6774
2002-05-17,-5.2941
2002-05-20,4.0373
2002-05-23,0.0
2002-05-24,0.0
2002-06-20,-0.597
2002-07-10,3.6036
2002-07-15,-4.3478
2002-07-17,1.2121
2002-07-18,1.7964
2002-07-19,-0.5882
2002-07-24,-2.3669000000000002
2002-08-01,0.0
2002-08-09,-5.4545
2002-09-10,-0.641
2002-10-01,2.5806
2002-11-07,8.1761
2002-11-25,-1.1047
2002-11-26,0.0
2002-12-12,-8.8183
2002-12-16,3.1593
2003-01-14,-0.625
2003-01-17,10.0629
2003-01-22,0.0
2003-01-23,-0.0571
2003-02-20,-9.3768
2003-02-28,-2.2082
2003-03-03,2.2580999999999998
2003-03-04,0.0
2003-03-11,0.0
2003-03-31,-1.8927
